"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",15,0,6,36917,1,1,1,1,0
"Luke",13,0,8,36761,1,2,1,0,0
"Lester",11,0,10,37369,1,3,1,1,1
"Anthony",10,0,11,35244,1,4,1,0,0
"Mark",9,0,12,36219,1,5,0,0,0
"James",9,0,12,35463,1,6,0,0,0
"Jordan",9,0,12,35183,1,7,0,0,0
"Simon",8,0,13,34733,1,8,0,0,0
"Luke",13,0,8,37272,2,1,1,0,0
"Paul",13,0,8,36200,2,2,1,1,0
"James",12,0,9,37000,2,3,1,0,0
"Lester",12,0,9,36255,2,4,1,1,1
"Jordan",10,0,11,35563,2,5,0,0,0
"Simon",10,0,11,34686,2,6,0,0,0
"Anthony",8,0,13,34661,2,7,0,0,0
"Mark",6,0,15,35175,2,8,0,0,0
"Luke",17,0,4,37168,3,1,1,0,0
"Paul",15,0,6,36515,3,2,1,1,1
"James",10,0,11,35871,3,3,1,0,0
"Simon",10,0,11,35452,3,4,1,1,0
"Jordan",10,0,11,35034,3,5,0,0,0
"Mark",9,0,12,35762,3,6,0,0,0
"Anthony",7,0,14,34458,3,7,0,0,0
"Lester",6,0,15,35715,3,8,0,0,0
"Luke",16,0,5,36783,4,1,1,1,0
"Paul",15,0,6,37106,4,2,1,1,1
"Jordan",11,0,10,35708,4,3,1,0,0
"James",10,0,11,35535,4,4,1,0,0
"Simon",9,0,12,34130,4,5,0,0,0
"Lester",8,0,13,35550,4,6,0,0,0
"Anthony",8,0,13,34846,4,7,0,0,0
"Mark",7,0,14,35679,4,8,0,0,0
"Paul",14,0,7,35894,5,1,1,0,0
"Luke",13,0,8,36047,5,2,1,1,1
"Anthony",13,0,8,35780,5,3,1,0,0
"Lester",12,0,9,36315,5,4,1,1,0
"James",9,0,12,36225,5,5,0,0,0
"Jordan",9,0,12,35325,5,6,0,0,0
"Mark",8,0,13,35785,5,7,0,0,0
"Simon",6,0,15,33761,5,8,0,0,0
"Luke",16,0,5,37074,6,1,1,1,0
"Paul",14,0,7,36336,6,2,1,0,0
"Mark",11,0,10,36865,6,3,1,1,1
"Lester",11,0,10,36444,6,4,1,0,0
"James",8,0,13,36067,6,5,0,0,0
"Jordan",8,0,13,35245,6,6,0,0,0
"Anthony",8,0,13,34956,6,7,0,0,0
"Simon",8,0,13,34593,6,8,0,0,0
"Luke",18,0,3,37604,7,1,1,0,0
"Paul",14,0,7,35944,7,2,1,1,1
"Lester",10,0,11,37145,7,3,1,0,0
"Mark",10,0,11,37094,7,4,1,1,0
"Anthony",9,0,12,34746,7,5,0,0,0
"Jordan",8,0,13,35268,7,6,0,0,0
"Simon",8,0,13,34292,7,7,0,0,0
"James",7,0,14,35550,7,8,0,0,0
"Paul",16,0,5,36842,8,1,1,1,0
"Luke",14,0,7,36763,8,2,1,0,0
"Lester",12,0,9,36919,8,3,1,1,1
"Mark",10,0,11,36247,8,4,1,0,0
"Anthony",9,0,12,34373,8,5,0,0,0
"James",8,0,13,36238,8,6,0,0,0
"Jordan",8,0,13,34609,8,7,0,0,0
"Simon",7,0,14,34219,8,8,0,0,0
"Paul",17,0,4,37181,9,1,1,1,1
"Luke",12,0,9,36719,9,2,1,1,0
"Lester",11,0,10,36564,9,3,1,0,0
"Simon",10,0,11,34669,9,4,1,0,0
"Mark",9,0,12,35749,9,5,0,0,0
"James",9,0,12,35493,9,6,0,0,0
"Jordan",9,0,12,35157,9,7,0,0,0
"Anthony",7,0,14,34592,9,8,0,0,0
"Paul",15,0,6,36632,10,1,1,1,1
"James",12,0,9,37020,10,2,1,1,0
"Luke",12,0,9,36527,10,3,1,0,0
"Lester",10,0,11,35560,10,4,1,0,0
"Simon",10,0,11,34902,10,5,0,0,0
"Anthony",9,0,12,35130,10,6,0,0,0
"Mark",8,0,13,35963,10,7,0,0,0
"Jordan",8,0,13,35102,10,8,0,0,0
"Paul",16,0,5,37302,11,1,1,0,0
"Luke",16,0,5,36984,11,2,1,1,1
"Lester",11,0,10,36832,11,3,1,0,0
"James",9,0,12,36118,11,4,1,1,0
"Simon",9,0,12,34298,11,5,0,0,0
"Mark",8,0,13,35910,11,6,0,0,0
"Jordan",8,0,13,35071,11,7,0,0,0
"Anthony",7,0,14,34262,11,8,0,0,0
"Luke",16,0,5,37884,12,1,1,0,0
"Paul",15,0,6,36925,12,2,1,0,0
"Lester",12,0,9,36351,12,3,1,1,1
"Jordan",9,0,12,35650,12,4,1,1,0
"Anthony",9,0,12,35226,12,5,0,0,0
"Mark",8,0,13,36102,12,6,0,0,0
"Simon",8,0,13,34626,12,7,0,0,0
"James",7,0,14,35477,12,8,0,0,0
"Paul",16,0,5,36592,13,1,1,1,0
"Luke",15,0,6,37104,13,2,1,0,0
"Mark",10,0,11,36320,13,3,1,1,1
"Lester",10,0,11,36232,13,4,1,0,0
"James",10,0,11,36047,13,5,0,0,0
"Jordan",8,0,13,34791,13,6,0,0,0
"Anthony",8,0,13,34761,13,7,0,0,0
"Simon",7,0,14,34077,13,8,0,0,0
"Luke",16,0,5,37605,14,1,1,1,1
"Paul",16,0,5,36886,14,2,1,0,0
"Jordan",10,0,11,35555,14,3,1,1,0
"Lester",9,0,12,35889,14,4,1,0,0
"James",9,0,12,35365,14,5,0,0,0
"Simon",9,0,12,34516,14,6,0,0,0
"Mark",8,0,13,36509,14,7,0,0,0
"Anthony",7,0,14,34660,14,8,0,0,0
"Paul",16,0,5,36566,15,1,1,0,0
"Luke",13,0,8,36540,15,2,1,1,0
