"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",18,0,3,36667,1,1,1,1,1
"Luke",17,0,4,36765,1,2,1,1,0
"Lester",12,0,9,35597,1,3,1,0,0
"Anthony",10,0,11,34672,1,4,1,0,0
"James",8,0,13,34587,1,5,0,0,0
"Simon",7,0,14,32677,1,6,0,0,0
"Mark",6,0,15,34972,1,7,0,0,0
"Jordan",6,0,15,33567,1,8,0,0,0
"Paul",17,0,4,36170,2,1,1,0,0
"Luke",15,1,5,36050,2,2,1,0,0
"Lester",12,0,9,35081,2,3,1,1,0
"James",10,0,11,34300,2,4,1,1,1
"Simon",9,0,12,33599,2,5,0,0,0
"Anthony",8,0,13,34402,2,6,0,0,0
"Jordan",6,1,14,33376,2,7,0,0,0
"Mark",6,0,15,34765,2,8,0,0,0
"Paul",16,0,5,35772,3,1,1,1,1
"Luke",15,0,6,36065,3,2,1,0,0
"Lester",11,0,10,35163,3,3,1,1,0
"James",10,0,11,34374,3,4,1,0,0
"Anthony",9,0,12,34333,3,5,0,0,0
"Simon",9,0,12,33455,3,6,0,0,0
"Mark",7,0,14,34649,3,7,0,0,0
"Jordan",7,0,14,33499,3,8,0,0,0
"Paul",18,0,3,36428,4,1,1,1,0
"Luke",16,0,5,37152,4,2,1,1,1
"Lester",12,0,9,35997,4,3,1,0,0
"James",10,0,11,34981,4,4,1,0,0
"Anthony",9,0,12,34880,4,5,0,0,0
"Jordan",7,0,14,33634,4,6,0,0,0
"Mark",6,0,15,34105,4,7,0,0,0
"Simon",6,0,15,32727,4,8,0,0,0
"Paul",15,0,6,35961,5,1,1,1,1
"Luke",14,0,7,36102,5,2,1,1,0
"Lester",12,0,9,35405,5,3,1,0,0
"James",11,0,10,34782,5,4,1,0,0
"Anthony",10,0,11,34701,5,5,0,0,0
"Jordan",8,0,13,34034,5,6,0,0,0
"Simon",8,0,13,32992,5,7,0,0,0
"Mark",6,0,15,34783,5,8,0,0,0
"Paul",17,0,4,36178,6,1,1,1,0
"Luke",16,0,5,36421,6,2,1,1,1
"Lester",12,0,9,35562,6,3,1,0,0
"James",10,0,11,34350,6,4,1,0,0
"Jordan",8,0,13,34487,6,5,0,0,0
"Anthony",8,0,13,34243,6,6,0,0,0
"Simon",8,0,13,33089,6,7,0,0,0
"Mark",5,0,16,34489,6,8,0,0,0
"Luke",16,0,5,36445,7,1,1,1,1
"Paul",16,0,5,35880,7,2,1,1,0
"Lester",11,0,10,35425,7,3,1,0,0
"Anthony",10,0,11,34686,7,4,1,0,0
"Mark",9,0,12,35073,7,5,0,0,0
