"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",16,0,5,35592,1,1,1,1,1
"Mark",11,0,10,35456,1,2,1,1,0
"Lester",11,0,10,35141,1,3,1,0,0
"James",11,0,10,35075,1,4,1,0,0
"Jordan",10,0,11,34793,1,5,0,0,0
"Luke",9,0,12,34948,1,6,0,0,0
"Simon",9,0,12,34079,1,7,0,0,0
"Anthony",7,0,14,35146,1,8,0,0,0
"Paul",14,0,7,35491,2,1,1,1,0
"Luke",14,0,7,34826,2,2,1,1,1
"Jordan",13,0,8,34658,2,3,1,0,0
"Simon",11,0,10,34511,2,4,1,0,0
"James",9,0,12,34432,2,5,0,0,0
"Lester",9,0,12,33968,2,6,0,0,0
"Mark",7,0,14,35650,2,7,0,0,0
"Anthony",7,0,14,33648,2,8,0,0,0
"James",13,0,8,36013,3,1,1,1,1
"Jordan",13,0,8,35640,3,2,1,0,0
"Luke",12,0,9,36135,3,3,1,1,0
"Paul",11,0,10,35198,3,4,1,0,0
"Anthony",9,0,12,34803,3,5,0,0,0
"Mark",9,0,12,34591,3,6,0,0,0
"Lester",9,0,12,33858,3,7,0,0,0
"Simon",8,0,13,34294,3,8,0,0,0
"Luke",13,0,8,35945,4,1,1,0,0
"Anthony",12,1,8,35133,4,2,1,1,0
"Paul",12,0,9,35941,4,3,1,0,0
"Mark",12,0,9,35448,4,4,1,1,1
"James",10,0,11,35366,4,5,0,0,0
"Lester",9,0,12,34654,4,6,0,0,0
"Jordan",8,1,12,34820,4,7,0,0,0
"Simon",7,0,14,34398,4,8,0,0,0
"Luke",15,0,6,36182,5,1,1,1,0
"Paul",14,0,7,36105,5,2,1,0,0
"Jordan",13,0,8,35946,5,3,1,1,1
"Anthony",10,0,11,35179,5,4,1,0,0
"Mark",9,0,12,35105,5,5,0,0,0
"Lester",8,0,13,35059,5,6,0,0,0
"James",8,0,13,34215,5,7,0,0,0
"Simon",7,0,14,34181,5,8,0,0,0
"Lester",12,0,9,36141,6,1,1,1,0
"James",12,0,9,35402,6,2,1,1,1
"Simon",12,0,9,34883,6,3,1,0,0
"Anthony",12,0,9,34856,6,4,1,0,0
"Jordan",11,0,10,35669,6,5,0,0,0
"Paul",10,0,11,35480,6,6,0,0,0
"Mark",8,0,13,34643,6,7,0,0,0
"Luke",7,0,14,34309,6,8,0,0,0
"Paul",15,0,6,36271,7,1,1,0,0
"Jordan",15,0,6,35843,7,2,1,0,0
"Anthony",12,0,9,35691,7,3,1,1,1
"Luke",12,0,9,35615,7,4,1,1,0
"James",10,0,11,35216,7,5,0,0,0
"Mark",7,0,14,35399,7,6,0,0,0
"Lester",7,0,14,34366,7,7,0,0,0
"Simon",6,0,15,33970,7,8,0,0,0
"Paul",12,0,9,35189,8,1,1,0,0
"Lester",12,0,9,35091,8,2,1,1,0
"Jordan",12,0,9,34616,8,3,1,0,0
"James",11,0,10,35507,8,4,1,1,1
"Luke",11,0,10,34505,8,5,0,0,0
"Anthony",10,0,11,34864,8,6,0,0,0
"Mark",8,0,13,34720,8,7,0,0,0
"Simon",8,0,13,34273,8,8,0,0,0
"Luke",14,0,7,35853,9,1,1,1,0
"James",12,0,9,35450,9,2,1,1,1
"Simon",12,0,9,35421,9,3,1,0,0
"Lester",11,0,10,35543,9,4,1,0,0
"Paul",11,0,10,35539,9,5,0,0,0
"Jordan",9,0,12,34843,9,6,0,0,0
"Anthony",8,0,13,34379,9,7,0,0,0
"Mark",7,0,14,35090,9,8,0,0,0
"Paul",16,0,5,36316,10,1,1,0,0
"Lester",15,0,6,35412,10,2,1,1,1
"Simon",11,0,10,35973,10,3,1,0,0
"James",11,0,10,35166,10,4,1,1,0
"Jordan",10,0,11,36049,10,5,0,0,0
"Luke",10,0,11,35807,10,6,0,0,0
"Mark",6,0,15,33784,10,7,0,0,0
"Anthony",5,0,16,34723,10,8,0,0,0
"Paul",14,0,7,36565,11,1,1,1,1
"Luke",14,0,7,36073,11,2,1,0,0
"James",11,1,9,35320,11,3,1,1,0
"Jordan",11,0,10,35510,11,4,1,0,0
"Simon",11,0,10,33574,11,5,0,0,0
"Lester",8,0,13,34431,11,6,0,0,0
"Anthony",7,1,13,34194,11,7,0,0,0
"Mark",7,0,14,35678,11,8,0,0,0
"Paul",15,0,6,36021,12,1,1,0,0
"James",11,0,10,35688,12,2,1,0,0
"Lester",11,0,10,35031,12,3,1,1,1
"Jordan",11,0,10,35014,12,4,1,1,0
"Mark",10,0,11,35695,12,5,0,0,0
"Luke",9,0,12,35693,12,6,0,0,0
"Simon",9,0,12,34405,12,7,0,0,0
"Anthony",8,0,13,34201,12,8,0,0,0
"Paul",15,0,6,35011,13,1,1,1,0
"Luke",12,0,9,35988,13,2,1,0,0
"James",11,0,10,36106,13,3,1,1,1
"Jordan",10,0,11,36208,13,4,1,0,0
"Anthony",10,0,11,34234,13,5,0,0,0
"Simon",9,0,12,35171,13,6,0,0,0
"Lester",9,0,12,35135,13,7,0,0,0
"Mark",8,0,13,34805,13,8,0,0,0
"Paul",15,0,6,35764,14,1,1,1,0
"Lester",13,0,8,34874,14,2,1,1,1
"Simon",12,0,9,34443,14,3,1,0,0
"Jordan",11,0,10,34899,14,4,1,0,0
"Luke",10,0,11,35539,14,5,0,0,0
"Mark",8,0,13,36292,14,6,0,0,0
"James",8,0,13,34367,14,7,0,0,0
"Anthony",7,0,14,34230,14,8,0,0,0
"Paul",17,0,4,37007,15,1,1,1,0
"Anthony",13,0,8,35431,15,2,1,0,0
"Luke",12,0,9,35298,15,3,1,1,1
"Lester",11,0,10,35334,15,4,1,0,0
"Jordan",10,0,11,35384,15,5,0,0,0
"Mark",10,0,11,35248,15,6,0,0,0
"James",6,0,15,34466,15,7,0,0,0
