"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Simon",14,1,6,35457,1,1,1,0,0
"Paul",13,0,8,35300,1,2,1,1,0
"Mark",11,1,9,34764,1,3,1,0,0
"Luke",10,0,11,36146,1,4,1,1,1
"James",10,0,11,34914,1,5,0,0,0
"Lester",10,0,11,34078,1,6,0,0,0
"Anthony",8,0,13,33959,1,7,0,0,0
"Jordan",7,0,14,33539,1,8,0,0,0
"Paul",15,0,6,36376,2,1,1,0,0
"Jordan",13,0,8,35269,2,2,1,0,0
"Luke",12,0,9,35964,2,3,1,1,1
"Mark",12,0,9,35140,2,4,1,1,0
"Simon",12,0,9,34955,2,5,0,0,0
"Anthony",9,0,12,34862,2,6,0,0,0
"Lester",6,0,15,34067,2,7,0,0,0
"James",5,0,16,33376,2,8,0,0,0
"James",14,0,7,35818,3,1,1,0,0
"Mark",13,0,8,35091,3,2,1,0,0
"Lester",12,0,9,35951,3,3,1,1,0
"Luke",12,0,9,35594,3,4,1,1,1
"Jordan",11,0,10,34909,3,5,0,0,0
"Paul",9,0,12,34489,3,6,0,0,0
"Simon",7,0,14,35003,3,7,0,0,0
"Anthony",6,0,15,34419,3,8,0,0,0
"Paul",18,0,3,37107,4,1,1,0,0
"Mark",11,0,10,36216,4,2,1,1,1
"Luke",11,0,10,35074,4,3,1,0,0
"Lester",11,0,10,35015,4,4,1,1,0
"Simon",10,0,11,35371,4,5,0,0,0
"Jordan",10,0,11,34907,4,6,0,0,0
"James",7,0,14,34658,4,7,0,0,0
"Anthony",6,0,15,34733,4,8,0,0,0
"Paul",16,0,5,35943,5,1,1,0,0
"Anthony",12,0,9,35341,5,2,1,1,0
"Mark",12,0,9,35091,5,3,1,0,0
"Luke",10,0,11,35931,5,4,1,1,1
"Simon",10,0,11,34843,5,5,0,0,0
"James",9,0,12,33396,5,6,0,0,0
"Jordan",8,0,13,33928,5,7,0,0,0
"Lester",7,0,14,34592,5,8,0,0,0
"Lester",14,0,7,36634,6,1,1,0,0
"Paul",13,0,8,36852,6,2,1,1,1
"James",12,0,9,35822,6,3,1,0,0
"Luke",10,0,11,35183,6,4,1,1,0
"Jordan",10,0,11,34805,6,5,0,0,0
"Anthony",9,0,12,34117,6,6,0,0,0
"Mark",8,0,13,34963,6,7,0,0,0
"Simon",8,0,13,34458,6,8,0,0,0
"Mark",14,0,7,35560,7,1,1,1,1
"Simon",13,0,8,36111,7,2,1,1,0
"James",12,0,9,34023,7,3,1,0,0
"Paul",11,0,10,35609,7,4,1,0,0
"Jordan",10,0,11,36170,7,5,0,0,0
"Lester",8,0,13,34637,7,6,0,0,0
"Luke",8,0,13,34475,7,7,0,0,0
"Anthony",8,0,13,34021,7,8,0,0,0
"Luke",15,0,6,35517,8,1,1,1,1
"Paul",13,0,8,34961,8,2,1,0,0
"Lester",12,0,9,34691,8,3,1,1,0
"Simon",11,0,10,33949,8,4,1,0,0
"James",10,0,11,34174,8,5,0,0,0
"Mark",9,0,12,34725,8,6,0,0,0
"Anthony",9,0,12,34549,8,7,0,0,0
"Jordan",5,0,16,33437,8,8,0,0,0
"Paul",14,0,7,35285,9,1,1,1,0
"Jordan",11,0,10,35171,9,2,1,0,0
"Mark",11,0,10,34862,9,3,1,1,1
"Lester",11,0,10,34685,9,4,1,0,0
"Anthony",11,0,10,34538,9,5,0,0,0
"James",10,0,11,34893,9,6,0,0,0
"Luke",8,0,13,35229,9,7,0,0,0
"Simon",8,0,13,34261,9,8,0,0,0
"Simon",14,0,7,35456,10,1,1,0,0
"Luke",13,0,8,36017,10,2,1,1,1
"Paul",13,0,8,35645,10,3,1,0,0
"Lester",12,0,9,35194,10,4,1,1,0
"James",11,0,10,35588,10,5,0,0,0
"Mark",9,0,12,34401,10,6,0,0,0
"Anthony",7,0,14,33814,10,7,0,0,0
"Jordan",5,0,16,34654,10,8,0,0,0
"Paul",13,0,8,35057,11,1,1,0,0
"Lester",12,0,9,36487,11,2,1,1,0
"Jordan",12,0,9,35814,11,3,1,0,0
"Luke",11,0,10,36940,11,4,1,1,1
"James",11,0,10,35116,11,5,0,0,0
"Mark",10,0,11,36199,11,6,0,0,0
"Simon",9,0,12,34286,11,7,0,0,0
"Anthony",6,0,15,33628,11,8,0,0,0
"Paul",16,0,5,35491,12,1,1,0,0
"Simon",14,0,7,33758,12,2,1,1,0
"Anthony",12,0,9,35473,12,3,1,0,0
"Jordan",12,0,9,34690,12,4,1,1,1
"Luke",9,0,12,35007,12,5,0,0,0
"Lester",8,0,13,34686,12,6,0,0,0
"James",7,0,14,33773,12,7,0,0,0
"Mark",6,0,15,33884,12,8,0,0,0
"Luke",15,0,6,36447,13,1,1,1,1
"Paul",14,0,7,34550,13,2,1,0,0
"Lester",12,0,9,35304,13,3,1,1,0
"James",11,0,10,34691,13,4,1,0,0
"Mark",9,0,12,34657,13,5,0,0,0
"Simon",8,0,13,33949,13,6,0,0,0
"Anthony",8,0,13,33877,13,7,0,0,0
"Jordan",7,0,14,33742,13,8,0,0,0
"Luke",14,0,7,36308,14,1,1,0,0
"Paul",13,0,8,35295,14,2,1,0,0
"Lester",12,0,9,35327,14,3,1,1,1
"Mark",10,0,11,35538,14,4,1,1,0
"Simon",10,0,11,35196,14,5,0,0,0
"Jordan",10,0,11,34525,14,6,0,0,0
"James",9,0,12,35936,14,7,0,0,0
"Anthony",6,0,15,33704,14,8,0,0,0
"Luke",14,0,7,36454,15,1,1,1,1
"Lester",11,0,10,35614,15,2,1,1,0
"Paul",11,0,10,34992,15,3,1,0,0
"Anthony",11,0,10,34463,15,4,1,0,0
"Mark",10,0,11,35705,15,5,0,0,0
"Jordan",10,0,11,34580,15,6,0,0,0
"Simon",9,0,12,34391,15,7,0,0,0
"James",8,0,13,34688,15,8,0,0,0
"Paul",14,0,7,36264,16,1,1,1,1
"Jordan",13,0,8,35289,16,2,1,1,0
"Mark",12,0,9,34874,16,3,1,0,0
"James",10,0,11,34939,16,4,1,0,0
"Anthony",10,0,11,34761,16,5,0,0,0
"Lester",9,0,12,34532,16,6,0,0,0
"Luke",8,0,13,35248,16,7,0,0,0
"Simon",8,0,13,33364,16,8,0,0,0
"Luke",14,0,7,35231,17,1,1,1,0
"Jordan",12,0,9,35730,17,2,1,1,1
"Anthony",11,0,10,34903,17,3,1,0,0
"Mark",11,0,10,34888,17,4,1,0,0
"Paul",10,0,11,35129,17,5,0,0,0
"James",10,0,11,34598,17,6,0,0,0
"Lester",8,0,13,33994,17,7,0,0,0
"Simon",8,0,13,33762,17,8,0,0,0
"Paul",14,0,7,36466,18,1,1,0,0
"Luke",13,0,8,35515,18,2,1,1,1
"Jordan",13,0,8,34417,18,3,1,0,0
"Lester",11,0,10,35361,18,4,1,1,0
"Anthony",11,0,10,34954,18,5,0,0,0
"James",9,0,12,34417,18,6,0,0,0
"Simon",8,0,13,34460,18,7,0,0,0
"Mark",5,0,16,34378,18,8,0,0,0
"Simon",13,0,8,35335,19,1,1,1,1
"Lester",12,0,9,36219,19,2,1,1,0
"Anthony",12,0,9,35436,19,3,1,0,0
"Paul",12,0,9,34884,19,4,1,0,0
"Luke",11,0,10,36682,19,5,0,0,0
"Mark",10,0,11,34647,19,6,0,0,0
"James",8,0,13,34672,19,7,0,0,0
"Jordan",6,0,15,34258,19,8,0,0,0
"Paul",14,0,7,35666,20,1,1,1,0
"Jordan",13,0,8,34710,20,2,1,0,0
"Anthony",12,0,9,35540,20,3,1,1,1
"Lester",12,0,9,35353,20,4,1,0,0
"Mark",10,0,11,35109,20,5,0,0,0
"Luke",8,0,13,35198,20,6,0,0,0
"James",8,0,13,34370,20,7,0,0,0
"Simon",7,0,14,34748,20,8,0,0,0
"Paul",12,0,9,34820,21,1,1,1,0
"Simon",12,0,9,34777,21,2,1,0,0
"Luke",11,0,10,36197,21,3,1,1,1
"Anthony",11,0,10,35397,21,4,1,0,0
"Lester",10,0,11,35658,21,5,0,0,0
"Mark",10,0,11,35529,21,6,0,0,0
"Jordan",10,0,11,34597,21,7,0,0,0
"James",8,0,13,34525,21,8,0,0,0
"Simon",14,0,7,34449,22,1,1,0,0
"Anthony",13,0,8,35723,22,2,1,0,0
"James",12,0,9,34506,22,3,1,1,0
"Luke",10,0,11,35489,22,4,1,1,1
"Paul",10,0,11,34890,22,5,0,0,0
"Jordan",9,0,12,34194,22,6,0,0,0
"Mark",8,0,13,34632,22,7,0,0,0
"Lester",8,0,13,34359,22,8,0,0,0
"James",15,0,6,35298,23,1,1,1,0
"Paul",14,0,7,36020,23,2,1,1,1
"Jordan",11,0,10,36306,23,3,1,0,0
"Mark",11,0,10,35597,23,4,1,0,0
"Luke",9,0,12,35418,23,5,0,0,0
"Anthony",9,0,12,33555,23,6,0,0,0
"Lester",8,0,13,34492,23,7,0,0,0
"Simon",7,0,14,33577,23,8,0,0,0
"Paul",16,0,5,35859,24,1,1,0,0
"Jordan",12,0,9,34978,24,2,1,1,1
"Mark",11,0,10,34645,24,3,1,0,0
"James",10,0,11,35648,24,4,1,1,0
"Luke",9,0,12,35119,24,5,0,0,0
"Lester",9,0,12,34816,24,6,0,0,0
"Anthony",9,0,12,34009,24,7,0,0,0
"Simon",8,0,13,32775,24,8,0,0,0
"Paul",17,0,4,36478,25,1,1,0,0
"Luke",15,0,6,35856,25,2,1,1,0
"Simon",13,0,8,35171,25,3,1,0,0
"Lester",12,0,9,35325,25,4,1,1,1
"Mark",9,0,12,34744,25,5,0,0,0
"James",9,0,12,34217,25,6,0,0,0
"Jordan",5,0,16,33681,25,7,0,0,0
"Anthony",4,0,17,33661,25,8,0,0,0
"Paul",18,0,3,36678,26,1,1,1,0
"Luke",11,0,10,36137,26,2,1,1,1
"Jordan",10,0,11,34129,26,3,1,0,0
"Simon",10,0,11,34098,26,4,1,0,0
"Mark",9,0,12,34674,26,5,0,0,0
"Anthony",9,0,12,34344,26,6,0,0,0
"James",9,0,12,34285,26,7,0,0,0
"Lester",8,0,13,34884,26,8,0,0,0
"Lester",14,0,7,35626,27,1,1,1,1
"Luke",12,0,9,36043,27,2,1,0,0
"Paul",12,0,9,35515,27,3,1,1,0
"Jordan",11,0,10,34990,27,4,1,0,0
"James",10,0,11,35647,27,5,0,0,0
"Simon",9,0,12,34355,27,6,0,0,0
"Anthony",8,0,13,34674,27,7,0,0,0
"Mark",8,0,13,33629,27,8,0,0,0
"Paul",13,0,8,34980,28,1,1,0,0
"Simon",13,0,8,34950,28,2,1,1,0
"Luke",12,0,9,35791,28,3,1,0,0
"Mark",10,0,11,35340,28,4,1,1,1
"Jordan",10,0,11,34597,28,5,0,0,0
"Anthony",10,0,11,33665,28,6,0,0,0
"Lester",9,0,12,34294,28,7,0,0,0
"James",7,0,14,34024,28,8,0,0,0
"Paul",15,0,6,35750,29,1,1,0,0
"James",11,0,10,35792,29,2,1,0,0
"Mark",11,0,10,35573,29,3,1,1,0
"Anthony",11,0,10,34755,29,4,1,1,1
"Luke",10,0,11,36184,29,5,0,0,0
"Jordan",10,0,11,34727,29,6,0,0,0
"Lester",9,0,12,35777,29,7,0,0,0
"Simon",7,0,14,34245,29,8,0,0,0
"Paul",14,0,7,35377,30,1,1,1,1
"Luke",13,0,8,36913,30,2,1,0,0
"Simon",12,1,8,35097,30,3,1,1,0
"Lester",10,0,11,35485,30,4,1,0,0
"James",10,0,11,35453,30,5,0,0,0
