"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",13,0,8,36004,1,1,1,0,0
"Anthony",13,0,8,35505,1,2,1,0,0
"Luke",11,0,10,34682,1,3,1,1,0
"Jordan",11,0,10,33831,1,4,1,1,1
"Paul",10,0,11,35389,1,5,0,0,0
"Mark",9,0,12,35006,1,6,0,0,0
"Simon",9,0,12,34103,1,7,0,0,0
"James",8,0,13,33819,1,8,0,0,0
"Lester",14,0,7,36195,2,1,1,1,1
"Anthony",13,0,8,35130,2,2,1,0,0
"Luke",13,0,8,35078,2,3,1,1,0
"Jordan",11,0,10,34698,2,4,1,0,0
"James",11,0,10,34201,2,5,0,0,0
"Paul",10,0,11,35663,2,6,0,0,0
"Mark",6,0,15,34327,2,7,0,0,0
"Simon",6,0,15,33421,2,8,0,0,0
"Lester",17,0,4,36869,3,1,1,1,0
"Paul",14,0,7,35877,3,2,1,0,0
"Mark",13,0,8,35465,3,3,1,1,1
"Luke",10,0,11,34852,3,4,1,0,0
"Anthony",9,0,12,34495,3,5,0,0,0
"Jordan",9,0,12,33773,3,6,0,0,0
"James",6,0,15,34312,3,7,0,0,0
"Simon",6,0,15,34267,3,8,0,0,0
"Paul",16,0,5,36577,4,1,1,0,0
"Anthony",13,0,8,35304,4,2,1,0,0
"Lester",11,0,10,34934,4,3,1,1,1
"James",10,0,11,34948,4,4,1,1,0
"Mark",10,0,11,34867,4,5,0,0,0
"Simon",9,0,12,33480,4,6,0,0,0
"Luke",8,0,13,34125,4,7,0,0,0
"Jordan",7,0,14,33656,4,8,0,0,0
"Lester",13,0,8,36023,5,1,1,0,0
"Mark",12,0,9,35750,5,2,1,1,1
"Paul",11,0,10,36322,5,3,1,0,0
"James",11,0,10,35010,5,4,1,1,0
"Anthony",10,0,11,35345,5,5,0,0,0
"Luke",10,0,11,34620,5,6,0,0,0
"Simon",10,0,11,33612,5,7,0,0,0
"Jordan",7,0,14,33197,5,8,0,0,0
"Lester",15,0,6,36343,6,1,1,0,0
"Paul",13,0,8,36108,6,2,1,1,1
"Anthony",11,0,10,35286,6,3,1,0,0
"James",11,0,10,35036,6,4,1,1,0
"Luke",9,0,12,34945,6,5,0,0,0
"Mark",9,0,12,34325,6,6,0,0,0
"Jordan",8,0,13,34298,6,7,0,0,0
"Simon",8,0,13,33795,6,8,0,0,0
"Lester",13,1,7,36417,7,1,1,1,0
"Mark",13,0,8,36094,7,2,1,0,0
"Paul",12,0,9,36502,7,3,1,1,1
"James",11,0,10,35134,7,4,1,0,0
"Anthony",10,1,10,34983,7,5,0,0,0
"Luke",8,0,13,35383,7,6,0,0,0
"Simon",8,0,13,34602,7,7,0,0,0
"Jordan",8,0,13,33203,7,8,0,0,0
"Lester",14,1,6,36610,8,1,1,0,0
"Paul",13,0,8,36592,8,2,1,0,0
"Anthony",12,0,9,35909,8,3,1,1,0
"Mark",10,0,11,35142,8,4,1,1,1
"James",9,0,12,34789,8,5,0,0,0
"Jordan",9,0,12,34543,8,6,0,0,0
"Simon",8,1,12,34591,8,7,0,0,0
"Luke",8,0,13,34625,8,8,0,0,0
"Lester",14,0,7,35855,9,1,1,1,1
"Mark",13,0,8,35491,9,2,1,1,0
"Anthony",12,0,9,34889,9,3,1,0,0
"Paul",11,0,10,35807,9,4,1,0,0
"James",11,0,10,34739,9,5,0,0,0
"Luke",10,0,11,34792,9,6,0,0,0
"Jordan",8,0,13,34716,9,7,0,0,0
"Simon",5,0,16,33653,9,8,0,0,0
"Paul",14,0,7,36426,10,1,1,1,1
"Anthony",13,0,8,34907,10,2,1,0,0
"Lester",12,0,9,35612,10,3,1,1,0
"Luke",10,0,11,35219,10,4,1,0,0
"Jordan",10,0,11,34174,10,5,0,0,0
"James",9,0,12,34601,10,6,0,0,0
"Simon",9,0,12,33517,10,7,0,0,0
"Mark",7,0,14,35203,10,8,0,0,0
"Mark",14,0,7,36389,11,1,1,0,0
