"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,35834,1,1,1,1,1
"Anthony",13,0,8,35442,1,2,1,1,0
"Paul",12,0,9,36084,1,3,1,0,0
"Luke",12,0,9,34501,1,4,1,0,0
"Mark",9,0,12,34527,1,5,0,0,0
"Simon",9,0,12,33770,1,6,0,0,0
"James",8,0,13,34365,1,7,0,0,0
"Jordan",7,0,14,32955,1,8,0,0,0
"Paul",16,0,5,36522,2,1,1,0,0
"Lester",14,0,7,36212,2,2,1,1,1
"Mark",12,0,9,35904,2,3,1,0,0
"Luke",11,0,10,34981,2,4,1,1,0
"James",10,0,11,35524,2,5,0,0,0
"Anthony",9,0,12,34306,2,6,0,0,0
"Jordan",8,0,13,33304,2,7,0,0,0
"Simon",4,0,17,32826,2,8,0,0,0
"Lester",13,0,8,36430,3,1,1,1,0
"Paul",13,0,8,35998,3,2,1,1,1
"Luke",13,0,8,35215,3,3,1,0,0
"Anthony",12,0,9,35558,3,4,1,0,0
"Mark",10,0,11,35910,3,5,0,0,0
"James",10,0,11,34884,3,6,0,0,0
"Jordan",7,0,14,33401,3,7,0,0,0
"Simon",6,0,15,32992,3,8,0,0,0
"Luke",14,0,7,35500,4,1,1,1,0
"Lester",13,0,8,35535,4,2,1,0,0
"Paul",12,0,9,36068,4,3,1,1,1
"James",12,0,9,35753,4,4,1,0,0
"Mark",10,0,11,35631,4,5,0,0,0
"Anthony",8,0,13,34756,4,6,0,0,0
"Jordan",8,0,13,33499,4,7,0,0,0
"Simon",7,0,14,33617,4,8,0,0,0
"Mark",15,0,6,36507,5,1,1,0,0
"Lester",14,0,7,36757,5,2,1,0,0
"Paul",13,0,8,36549,5,3,1,1,1
"Anthony",10,0,11,34242,5,4,1,1,0
"James",9,0,12,35165,5,5,0,0,0
"Luke",8,0,13,34953,5,6,0,0,0
"Jordan",8,0,13,33884,5,7,0,0,0
"Simon",7,0,14,33702,5,8,0,0,0
"Mark",14,0,7,36248,6,1,1,1,0
"Paul",14,0,7,35846,6,2,1,0,0
"Lester",13,0,8,35814,6,3,1,1,1
"Luke",12,0,9,35904,6,4,1,0,0
"James",9,0,12,35317,6,5,0,0,0
"Anthony",9,0,12,34578,6,6,0,0,0
"Simon",7,0,14,33769,6,7,0,0,0
"Jordan",6,0,15,34325,6,8,0,0,0
"Mark",14,0,7,36103,7,1,1,1,0
"Lester",14,0,7,35885,7,2,1,1,1
"James",12,1,8,35379,7,3,1,0,0
"Paul",11,0,10,36120,7,4,1,0,0
"Luke",10,1,10,34921,7,5,0,0,0
"Anthony",9,0,12,35063,7,6,0,0,0
"Jordan",7,0,14,33634,7,7,0,0,0
"Simon",6,0,15,32612,7,8,0,0,0
"Lester",14,0,7,36164,8,1,1,0,0
"Mark",13,0,8,35755,8,2,1,1,1
"Luke",13,0,8,34943,8,3,1,0,0
"Paul",11,0,10,36254,8,4,1,1,0
"Anthony",10,0,11,35948,8,5,0,0,0
"Simon",8,0,13,33940,8,6,0,0,0
"Jordan",8,0,13,33041,8,7,0,0,0
"James",7,0,14,34611,8,8,0,0,0
"Paul",14,0,7,36090,9,1,1,0,0
"Lester",13,0,8,35973,9,2,1,0,0
"James",12,0,9,35531,9,3,1,1,0
"Anthony",12,0,9,35395,9,4,1,1,1
"Mark",11,0,10,35292,9,5,0,0,0
"Luke",8,0,13,34282,9,6,0,0,0
"Simon",8,0,13,33464,9,7,0,0,0
"Jordan",6,0,15,33816,9,8,0,0,0
"Paul",15,0,6,36859,10,1,1,1,0
"Lester",13,1,7,36746,10,2,1,1,1
"Anthony",12,1,8,35956,10,3,1,0,0
"Mark",10,0,11,36336,10,4,1,0,0
"Luke",10,0,11,35316,10,5,0,0,0
"James",9,0,12,34956,10,6,0,0,0
"Jordan",8,0,13,33724,10,7,0,0,0
"Simon",6,0,15,33501,10,8,0,0,0
"Lester",17,0,4,36321,11,1,1,1,1
"Paul",15,0,6,36232,11,2,1,1,0
"Mark",15,0,6,36099,11,3,1,0,0
"Anthony",9,1,11,35084,11,4,1,0,0
"Luke",9,0,12,34858,11,5,0,0,0
"James",9,0,12,34628,11,6,0,0,0
"Jordan",5,0,16,32751,11,7,0,0,0
"Simon",4,1,16,33445,11,8,0,0,0
"Paul",13,0,8,36112,12,1,1,0,0
"Lester",13,0,8,35813,12,2,1,1,0
"Mark",13,0,8,35574,12,3,1,0,0
"Luke",12,0,9,35281,12,4,1,1,1
"Anthony",10,0,11,35099,12,5,0,0,0
"Jordan",8,0,13,33875,12,6,0,0,0
"Simon",8,0,13,33209,12,7,0,0,0
"James",7,0,14,34725,12,8,0,0,0
"Paul",14,0,7,36561,13,1,1,1,1
"Mark",13,0,8,36051,13,2,1,1,0
