"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,35997,1,1,1,1,0
"Jordan",12,0,9,34999,1,2,1,0,0
"Anthony",11,1,9,36858,1,3,1,1,1
"Paul",11,0,10,36633,1,4,1,0,0
"Mark",11,0,10,35652,1,5,0,0,0
"Luke",9,0,12,34162,1,6,0,0,0
"James",8,0,13,34553,1,7,0,0,0
"Simon",7,1,13,33884,1,8,0,0,0
"Lester",14,0,7,36238,2,1,1,0,0
"Mark",14,0,7,36120,2,2,1,1,0
"Paul",11,0,10,36414,2,3,1,0,0
"Luke",11,0,10,35151,2,4,1,1,1
"Anthony",10,0,11,34836,2,5,0,0,0
"James",10,0,11,34534,2,6,0,0,0
"Jordan",8,0,13,33765,2,7,0,0,0
"Simon",6,0,15,33319,2,8,0,0,0
"Paul",13,0,8,36760,3,1,1,0,0
"Luke",13,0,8,35354,3,2,1,1,1
"Lester",11,0,10,35575,3,3,1,0,0
"Anthony",11,0,10,35168,3,4,1,1,0
"Mark",11,0,10,35139,3,5,0,0,0
"Jordan",10,0,11,33916,3,6,0,0,0
"James",9,0,12,34705,3,7,0,0,0
"Simon",6,0,15,33474,3,8,0,0,0
"Lester",13,0,8,35587,4,1,1,1,1
"Anthony",12,0,9,35664,4,2,1,0,0
"Paul",11,0,10,36196,4,3,1,1,0
"Mark",11,0,10,35599,4,4,1,0,0
"Luke",11,0,10,34975,4,5,0,0,0
"James",9,0,12,34293,4,6,0,0,0
"Jordan",9,0,12,33654,4,7,0,0,0
"Simon",8,0,13,33770,4,8,0,0,0
"Lester",16,0,5,36182,5,1,1,0,0
"Paul",14,0,7,36411,5,2,1,1,1
"Luke",13,1,7,35747,5,3,1,0,0
"Mark",11,1,9,35709,5,4,1,1,0
"Anthony",11,0,10,36199,5,5,0,0,0
"James",7,0,14,34560,5,6,0,0,0
"Jordan",6,0,15,33265,5,7,0,0,0
"Simon",5,0,16,33718,5,8,0,0,0
"Mark",14,0,7,36345,6,1,1,1,1
"Lester",14,0,7,36157,6,2,1,0,0
"Luke",13,0,8,35103,6,3,1,1,0
"Paul",10,0,11,36193,6,4,1,0,0
"Anthony",10,0,11,35748,6,5,0,0,0
"Jordan",9,0,12,34305,6,6,0,0,0
"James",8,0,13,35178,6,7,0,0,0
"Simon",6,0,15,33627,6,8,0,0,0
"Luke",13,0,8,35718,7,1,1,0,0
"Mark",13,0,8,35275,7,2,1,0,0
"Paul",12,0,9,36316,7,3,1,1,1
"Lester",12,0,9,35729,7,4,1,1,0
"James",10,0,11,35034,7,5,0,0,0
"Jordan",10,0,11,34184,7,6,0,0,0
"Anthony",9,0,12,34835,7,7,0,0,0
"Simon",5,0,16,33084,7,8,0,0,0
"Paul",15,0,6,36425,8,1,1,1,0
"Mark",14,0,7,37287,8,2,1,1,1
"Lester",12,0,9,35677,8,3,1,0,0
"Luke",12,0,9,35069,8,4,1,0,0
"Anthony",10,0,11,35243,8,5,0,0,0
"James",7,0,14,34887,8,6,0,0,0
"Jordan",7,0,14,34047,8,7,0,0,0
"Simon",7,0,14,33185,8,8,0,0,0
"Lester",14,0,7,35861,9,1,1,0,0
"Mark",12,0,9,35919,9,2,1,1,1
"Paul",11,0,10,36230,9,3,1,0,0
"Luke",11,0,10,34375,9,4,1,1,0
"Jordan",11,0,10,34181,9,5,0,0,0
"Anthony",10,0,11,35810,9,6,0,0,0
"James",9,0,12,34741,9,7,0,0,0
"Simon",6,0,15,33476,9,8,0,0,0
"Lester",14,0,7,36621,10,1,1,1,0
"Paul",12,0,9,36568,10,2,1,0,0
"James",12,0,9,35552,10,3,1,1,1
"Mark",10,0,11,35778,10,4,1,0,0
"Luke",10,0,11,34385,10,5,0,0,0
"Jordan",10,0,11,33982,10,6,0,0,0
"Anthony",9,0,12,34691,10,7,0,0,0
"Simon",7,0,14,33910,10,8,0,0,0
"Luke",14,0,7,35937,11,1,1,0,0
"Anthony",12,0,9,35674,11,2,1,1,1
"Lester",12,0,9,35063,11,3,1,0,0
"Mark",11,0,10,35276,11,4,1,1,0
"Paul",10,0,11,36222,11,5,0,0,0
"James",9,0,12,35297,11,6,0,0,0
"Jordan",9,0,12,33521,11,7,0,0,0
"Simon",7,0,14,34292,11,8,0,0,0
"Paul",14,0,7,37227,12,1,1,1,0
"Mark",13,0,8,35982,12,2,1,0,0
"Luke",13,0,8,34872,12,3,1,1,1
"Lester",12,0,9,35996,12,4,1,0,0
"Anthony",11,0,10,35393,12,5,0,0,0
"James",8,0,13,35056,12,6,0,0,0
"Jordan",8,0,13,33618,12,7,0,0,0
"Simon",5,0,16,33200,12,8,0,0,0
"Lester",14,0,7,35916,13,1,1,0,0
"Paul",13,0,8,36745,13,2,1,1,1
"James",13,0,8,35412,13,3,1,0,0
"Luke",11,0,10,35037,13,4,1,1,0
"Mark",10,0,11,36144,13,5,0,0,0
"Anthony",10,0,11,34713,13,6,0,0,0
"Jordan",8,0,13,33228,13,7,0,0,0
"Simon",5,0,16,33400,13,8,0,0,0
"Paul",15,0,6,37276,14,1,1,1,1
"Luke",13,0,8,35946,14,2,1,0,0
"Lester",12,0,9,36193,14,3,1,1,0
"Anthony",12,0,9,35166,14,4,1,0,0
"Jordan",11,0,10,34382,14,5,0,0,0
"Mark",10,0,11,35464,14,6,0,0,0
"James",6,0,15,34422,14,7,0,0,0
"Simon",5,0,16,33800,14,8,0,0,0
"Paul",14,0,7,37064,15,1,1,1,1
"Luke",13,0,8,35007,15,2,1,1,0
"Mark",12,0,9,34928,15,3,1,0,0
"Lester",11,0,10,35272,15,4,1,0,0
"Jordan",11,0,10,33702,15,5,0,0,0
"Anthony",10,0,11,35454,15,6,0,0,0
"James",9,0,12,35129,15,7,0,0,0
"Simon",4,0,17,33607,15,8,0,0,0
"Lester",15,0,6,36694,16,1,1,1,0
"Luke",13,0,8,35124,16,2,1,0,0
"Paul",12,0,9,36448,16,3,1,1,1
"Mark",12,0,9,35858,16,4,1,0,0
"Anthony",11,0,10,35766,16,5,0,0,0
"Jordan",8,0,13,33530,16,6,0,0,0
"Simon",7,0,14,33457,16,7,0,0,0
"James",6,0,15,34091,16,8,0,0,0
"Anthony",14,0,7,36655,17,1,1,1,0
"Paul",13,0,8,36707,17,2,1,1,1
"Mark",12,0,9,35701,17,3,1,0,0
"Lester",11,0,10,35689,17,4,1,0,0
"Luke",11,0,10,34709,17,5,0,0,0
"Jordan",10,0,11,34048,17,6,0,0,0
"James",8,0,13,35019,17,7,0,0,0
"Simon",5,0,16,33639,17,8,0,0,0
"Luke",13,0,8,35531,18,1,1,0,0
"Lester",12,0,9,35874,18,2,1,0,0
"Paul",11,0,10,36355,18,3,1,1,0
"Mark",11,0,10,35818,18,4,1,1,1
"Anthony",11,0,10,35116,18,5,0,0,0
"Jordan",11,0,10,34311,18,6,0,0,0
"James",10,0,11,35273,18,7,0,0,0
"Simon",5,0,16,33679,18,8,0,0,0
"Paul",16,0,5,36923,19,1,1,1,1
"Lester",15,0,6,36620,19,2,1,0,0
"Luke",12,0,9,35587,19,3,1,1,0
"Mark",11,0,10,35798,19,4,1,0,0
"Anthony",10,0,11,35441,19,5,0,0,0
"James",9,0,12,34529,19,6,0,0,0
"Jordan",7,0,14,33363,19,7,0,0,0
"Simon",4,0,17,32907,19,8,0,0,0
"Luke",15,0,6,35327,20,1,1,0,0
"Paul",13,0,8,36529,20,2,1,0,0
"Mark",12,0,9,36371,20,3,1,1,1
"Lester",12,0,9,35951,20,4,1,1,0
"Anthony",12,0,9,35514,20,5,0,0,0
"Jordan",8,0,13,33054,20,6,0,0,0
"James",7,0,14,34235,20,7,0,0,0
"Simon",5,0,16,33222,20,8,0,0,0
"Lester",14,0,7,36840,21,1,1,1,1
