"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,36735,1,1,1,1,1
"Luke",13,0,8,34929,1,2,1,1,0
"Paul",12,0,9,36099,1,3,1,0,0
"Mark",11,0,10,35978,1,4,1,0,0
"Anthony",10,1,10,35438,1,5,0,0,0
"James",9,1,11,34453,1,6,0,0,0
"Jordan",8,0,13,34008,1,7,0,0,0
"Simon",6,0,15,33778,1,8,0,0,0
"Lester",13,0,8,36484,2,1,1,0,0
"Paul",12,0,9,36322,2,2,1,0,0
"Mark",12,0,9,36232,2,3,1,1,0
"Luke",12,0,9,34999,2,4,1,1,1
"James",10,1,10,34615,2,5,0,0,0
"Anthony",9,1,11,35097,2,6,0,0,0
"Jordan",9,0,12,34099,2,7,0,0,0
"Simon",6,0,15,33747,2,8,0,0,0
"Lester",14,0,7,36706,3,1,1,1,1
"Paul",13,0,8,36417,3,2,1,1,0
"Luke",12,0,9,34952,3,3,1,0,0
"Mark",11,0,10,35959,3,4,1,0,0
"James",10,1,10,34576,3,5,0,0,0
"Anthony",9,1,11,35252,3,6,0,0,0
"Jordan",9,0,12,34210,3,7,0,0,0
"Simon",5,0,16,33712,3,8,0,0,0
"Lester",14,0,7,36575,4,1,1,0,0
"Paul",13,0,8,36212,4,2,1,0,0
"Luke",13,0,8,35147,4,3,1,1,1
"Mark",11,0,10,35927,4,4,1,1,0
"Anthony",10,1,10,35428,4,5,0,0,0
"James",9,1,11,34505,4,6,0,0,0
"Jordan",8,0,13,34260,4,7,0,0,0
"Simon",5,0,16,33546,4,8,0,0,0
"Lester",13,0,8,36459,5,1,1,1,0
"Luke",13,0,8,35480,5,2,1,0,0
"Paul",12,0,9,36131,5,3,1,1,1
"Mark",12,0,9,36125,5,4,1,0,0
"Anthony",9,1,11,35254,5,5,0,0,0
"James",9,1,11,34484,5,6,0,0,0
"Jordan",9,0,12,34303,5,7,0,0,0
"Simon",6,0,15,33873,5,8,0,0,0
"Lester",14,0,7,36612,6,1,1,0,0
"Paul",13,0,8,36441,6,2,1,1,1
"Luke",12,0,9,34844,6,3,1,0,0
"Mark",11,0,10,35929,6,4,1,1,0
"James",10,1,10,34552,6,5,0,0,0
"Anthony",9,1,11,35299,6,6,0,0,0
"Jordan",9,0,12,34286,6,7,0,0,0
"Simon",5,0,16,33806,6,8,0,0,0
"Lester",13,0,8,36610,7,1,1,0,0
"Paul",13,0,8,36407,7,2,1,0,0
"Mark",12,0,9,36221,7,3,1,1,1
"Luke",12,0,9,34846,7,4,1,1,0
"James",10,1,10,34627,7,5,0,0,0
"Anthony",9,1,11,35093,7,6,0,0,0
"Jordan",9,0,12,34245,7,7,0,0,0
"Simon",5,0,16,33768,7,8,0,0,0
"Lester",13,0,8,36637,8,1,1,0,0
"Luke",13,0,8,35119,8,2,1,0,0
"Mark",12,0,9,36238,8,3,1,1,0
"Paul",12,0,9,36042,8,4,1,1,1
"Anthony",10,1,10,35286,8,5,0,0,0
"James",9,1,11,34679,8,6,0,0,0
"Jordan",8,0,13,33856,8,7,0,0,0
"Simon",6,0,15,33894,8,8,0,0,0
"Lester",14,0,7,36545,9,1,1,1,1
"Luke",13,0,8,35053,9,2,1,1,0
"Paul",12,0,9,36234,9,3,1,0,0
"Mark",11,0,10,35890,9,4,1,0,0
"Anthony",9,1,11,35105,9,5,0,0,0
"James",9,1,11,34537,9,6,0,0,0
"Jordan",9,0,12,34003,9,7,0,0,0
"Simon",6,0,15,33843,9,8,0,0,0
"Lester",14,0,7,36612,10,1,1,0,0
"Paul",13,0,8,36484,10,2,1,1,1
"Luke",13,0,8,35157,10,3,1,0,0
"Mark",11,0,10,36000,10,4,1,1,0
"Anthony",10,1,10,35410,10,5,0,0,0
"James",9,1,11,34591,10,6,0,0,0
"Jordan",8,0,13,34203,10,7,0,0,0
"Simon",5,0,16,33572,10,8,0,0,0
"Lester",14,0,7,36781,11,1,1,1,1
"Paul",13,0,8,36254,11,2,1,1,0
"Luke",12,0,9,34994,11,3,1,0,0
"Mark",11,0,10,36151,11,4,1,0,0
"James",10,1,10,34633,11,5,0,0,0
"Anthony",9,1,11,35161,11,6,0,0,0
"Jordan",9,0,12,34243,11,7,0,0,0
"Simon",5,0,16,33552,11,8,0,0,0
"Lester",13,0,8,36616,12,1,1,1,0
"Paul",13,0,8,36457,12,2,1,1,1
"Mark",12,0,9,36068,12,3,1,0,0
"Luke",12,0,9,34763,12,4,1,0,0
"Anthony",10,1,10,35386,12,5,0,0,0
"James",10,1,10,34558,12,6,0,0,0
"Jordan",8,0,13,34062,12,7,0,0,0
"Simon",5,0,16,33812,12,8,0,0,0
"Lester",13,0,8,36606,13,1,1,1,0
"Paul",13,0,8,36251,13,2,1,0,0
"Mark",12,0,9,36133,13,3,1,1,1
"Luke",12,0,9,34982,13,4,1,0,0
"Anthony",10,1,10,35461,13,5,0,0,0
"James",10,1,10,34755,13,6,0,0,0
"Jordan",8,0,13,34255,13,7,0,0,0
"Simon",5,0,16,33449,13,8,0,0,0
"Lester",14,0,7,36624,14,1,1,1,1
"Luke",13,0,8,35165,14,2,1,0,0
"Paul",12,0,9,36256,14,3,1,1,0
"Mark",11,0,10,35917,14,4,1,0,0
"Anthony",9,1,11,35228,14,5,0,0,0
"James",9,1,11,34429,14,6,0,0,0
"Jordan",9,0,12,34294,14,7,0,0,0
"Simon",6,0,15,33929,14,8,0,0,0
"Lester",14,0,7,36734,15,1,1,0,0
"Paul",13,0,8,36338,15,2,1,1,0
"Luke",13,0,8,34947,15,3,1,0,0
"Mark",11,0,10,36111,15,4,1,1,1
"Anthony",10,1,10,35547,15,5,0,0,0
"James",9,1,11,34331,15,6,0,0,0
"Jordan",8,0,13,34280,15,7,0,0,0
"Simon",5,0,16,33663,15,8,0,0,0
"Lester",13,0,8,36699,16,1,1,1,1
"Paul",12,0,9,36300,16,2,1,1,0
"Mark",12,0,9,36107,16,3,1,0,0
"Luke",12,0,9,34939,16,4,1,0,0
"James",10,1,10,34742,16,5,0,0,0
"Anthony",9,1,11,35322,16,6,0,0,0
"Jordan",9,0,12,34257,16,7,0,0,0
"Simon",6,0,15,33848,16,8,0,0,0
"Lester",13,0,8,36627,17,1,1,1,1
"Paul",13,0,8,36346,17,2,1,1,0
"Mark",12,0,9,36034,17,3,1,0,0
"Luke",12,0,9,34849,17,4,1,0,0
"James",10,1,10,34431,17,5,0,0,0
"Anthony",9,1,11,35199,17,6,0,0,0
"Jordan",9,0,12,34452,17,7,0,0,0
"Simon",5,0,16,33694,17,8,0,0,0
"Lester",14,0,7,36646,18,1,1,1,1
"Luke",13,0,8,35177,18,2,1,0,0
"Paul",12,0,9,36331,18,3,1,1,0
"Mark",11,0,10,35963,18,4,1,0,0
"Anthony",10,1,10,35209,18,5,0,0,0
"James",9,1,11,34743,18,6,0,0,0
"Jordan",8,0,13,34052,18,7,0,0,0
"Simon",6,0,15,33861,18,8,0,0,0
"Lester",13,0,8,36413,19,1,1,1,1
"Paul",12,0,9,36344,19,2,1,1,0
"Mark",12,0,9,35919,19,3,1,0,0
"Luke",12,0,9,34950,19,4,1,0,0
"Anthony",10,1,10,35524,19,5,0,0,0
"James",10,1,10,34574,19,6,0,0,0
"Jordan",8,0,13,34044,19,7,0,0,0
