"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",15,0,6,36733,1,1,1,0,0
"Luke",13,0,8,35078,1,2,1,0,0
"Paul",11,0,10,36432,1,3,1,1,1
"Mark",11,0,10,35892,1,4,1,1,0
"James",11,0,10,34977,1,5,0,0,0
"Anthony",10,0,11,35361,1,6,0,0,0
"Jordan",9,0,12,34336,1,7,0,0,0
"Simon",4,0,17,33652,1,8,0,0,0
"Lester",15,0,6,36611,2,1,1,1,0
"Paul",14,0,7,36843,2,2,1,1,1
"Luke",12,0,9,34849,2,3,1,0,0
"Mark",11,0,10,36125,2,4,1,0,0
"Anthony",10,0,11,34944,2,5,0,0,0
"James",10,0,11,34539,2,6,0,0,0
"Jordan",8,0,13,33912,2,7,0,0,0
"Simon",4,0,17,33406,2,8,0,0,0
"Lester",15,0,6,36973,3,1,1,0,0
"Paul",13,0,8,36427,3,2,1,0,0
"Mark",13,0,8,36314,3,3,1,1,1
"Luke",12,0,9,35056,3,4,1,1,0
"James",11,0,10,35021,3,5,0,0,0
"Anthony",8,0,13,34736,3,6,0,0,0
"Jordan",8,0,13,34275,3,7,0,0,0
"Simon",4,0,17,33706,3,8,0,0,0
"Lester",14,0,7,36723,4,1,1,1,1
"Paul",13,0,8,36639,4,2,1,0,0
"Mark",13,0,8,36318,4,3,1,1,0
"Luke",12,0,9,34997,4,4,1,0,0
"Anthony",10,0,11,35415,4,5,0,0,0
"James",10,0,11,34397,4,6,0,0,0
"Jordan",7,0,14,33927,4,7,0,0,0
"Simon",5,0,16,33896,4,8,0,0,0
"Lester",15,0,6,36735,5,1,1,1,1
"Paul",14,0,7,36582,5,2,1,1,0
"Luke",13,0,8,35210,5,3,1,0,0
"Mark",11,0,10,36141,5,4,1,0,0
"Anthony",10,0,11,35470,5,5,0,0,0
"James",9,0,12,34565,5,6,0,0,0
"Jordan",7,0,14,34101,5,7,0,0,0
"Simon",5,0,16,33731,5,8,0,0,0
"Lester",15,0,6,36925,6,1,1,1,0
"Paul",13,0,8,36831,6,2,1,1,1
"Luke",12,0,9,35129,6,3,1,0,0
"Mark",11,0,10,36064,6,4,1,0,0
"James",11,0,10,34808,6,5,0,0,0
"Anthony",10,0,11,35484,6,6,0,0,0
"Jordan",7,0,14,33928,6,7,0,0,0
"Simon",5,0,16,33886,6,8,0,0,0
"Lester",16,0,5,36889,7,1,1,0,0
"Mark",12,0,9,36351,7,2,1,1,0
"Paul",12,0,9,36316,7,3,1,0,0
"Luke",12,0,9,35055,7,4,1,1,1
"James",10,0,11,34609,7,5,0,0,0
"Anthony",9,0,12,34926,7,6,0,0,0
"Jordan",9,0,12,34307,7,7,0,0,0
"Simon",4,0,17,33466,7,8,0,0,0
"Lester",16,0,5,36950,8,1,1,1,1
"Paul",12,0,9,36305,8,2,1,1,0
"Mark",12,0,9,36098,8,3,1,0,0
"Luke",12,0,9,34967,8,4,1,0,0
"James",10,0,11,34606,8,5,0,0,0
"Anthony",9,0,12,35470,8,6,0,0,0
"Jordan",8,0,13,34111,8,7,0,0,0
"Simon",5,0,16,33417,8,8,0,0,0
"Lester",14,0,7,36599,9,1,1,1,0
"Paul",13,0,8,36427,9,2,1,1,1
"Luke",12,0,9,34699,9,3,1,0,0
"Mark",11,0,10,35784,9,4,1,0,0
"James",11,0,10,34857,9,5,0,0,0
"Jordan",10,0,11,34393,9,6,0,0,0
"Anthony",9,0,12,35089,9,7,0,0,0
"Simon",4,0,17,33525,9,8,0,0,0
"Lester",15,0,6,36813,10,1,1,0,0
"Paul",13,0,8,36511,10,2,1,1,1
"Mark",12,0,9,36441,10,3,1,0,0
"Luke",12,0,9,34932,10,4,1,1,0
"James",11,0,10,34752,10,5,0,0,0
"Anthony",9,0,12,35268,10,6,0,0,0
"Jordan",7,0,14,34010,10,7,0,0,0
"Simon",5,0,16,33560,10,8,0,0,0
"Lester",15,0,6,36789,11,1,1,0,0
"Paul",13,0,8,36455,11,2,1,1,0
"Mark",11,0,10,36083,11,3,1,0,0
"Anthony",11,0,10,35289,11,4,1,1,1
"Luke",11,0,10,34990,11,5,0,0,0
"James",11,0,10,34495,11,6,0,0,0
"Jordan",8,0,13,34153,11,7,0,0,0
"Simon",4,0,17,33923,11,8,0,0,0
"Lester",15,0,6,36615,12,1,1,1,1
"Paul",12,0,9,36191,12,2,1,0,0
"Luke",12,0,9,35087,12,3,1,1,0
"Mark",11,0,10,36108,12,4,1,0,0
"James",11,0,10,34843,12,5,0,0,0
"Anthony",9,0,12,34972,12,6,0,0,0
"Jordan",9,0,12,34143,12,7,0,0,0
"Simon",5,0,16,33688,12,8,0,0,0
"Lester",15,0,6,36873,13,1,1,1,1
"Luke",12,0,9,35150,13,2,1,0,0
"Paul",11,0,10,36264,13,3,1,1,0
"Mark",11,0,10,36218,13,4,1,0,0
"James",11,0,10,35171,13,5,0,0,0
"Anthony",10,0,11,35526,13,6,0,0,0
"Jordan",8,0,13,34091,13,7,0,0,0
"Simon",6,0,15,33959,13,8,0,0,0
"Lester",14,0,7,36684,14,1,1,0,0
"Luke",14,0,7,35449,14,2,1,0,0
"Mark",12,0,9,36362,14,3,1,1,0
"Paul",11,0,10,35971,14,4,1,1,1
"Anthony",10,0,11,35282,14,5,0,0,0
"James",10,0,11,34828,14,6,0,0,0
"Jordan",9,0,12,34111,14,7,0,0,0
"Simon",4,0,17,33338,14,8,0,0,0
"Lester",14,0,7,36705,15,1,1,0,0
"Mark",13,0,8,36092,15,2,1,0,0
"Paul",12,0,9,36161,15,3,1,1,1
"Luke",12,0,9,34970,15,4,1,1,0
"Anthony",10,0,11,35317,15,5,0,0,0
"James",10,0,11,34296,15,6,0,0,0
"Jordan",8,0,13,34542,15,7,0,0,0
"Simon",5,0,16,33480,15,8,0,0,0
"Lester",15,0,6,36991,16,1,1,0,0
"Paul",13,0,8,36562,16,2,1,1,0
"Luke",12,0,9,34870,16,3,1,0,0
"James",12,0,9,34839,16,4,1,1,1
"Mark",11,0,10,36123,16,5,0,0,0
"Jordan",9,0,12,34029,16,6,0,0,0
"Anthony",8,0,13,35279,16,7,0,0,0
"Simon",4,0,17,33396,16,8,0,0,0
"Lester",14,0,7,36654,17,1,1,1,1
"Luke",14,0,7,35247,17,2,1,0,0
"Paul",12,0,9,36212,17,3,1,1,0
"Mark",11,0,10,36328,17,4,1,0,0
"James",11,0,10,34283,17,5,0,0,0
"Anthony",9,0,12,35035,17,6,0,0,0
"Jordan",9,0,12,34333,17,7,0,0,0
"Simon",4,0,17,33238,17,8,0,0,0
"Paul",13,0,8,36601,18,1,1,1,0
"Lester",13,0,8,36508,18,2,1,1,1
"Mark",13,0,8,36030,18,3,1,0,0
"Luke",13,0,8,35110,18,4,1,0,0
"Anthony",10,0,11,34988,18,5,0,0,0
"James",10,0,11,34728,18,6,0,0,0
"Jordan",7,0,14,33492,18,7,0,0,0
"Simon",5,0,16,33079,18,8,0,0,0
"Lester",14,0,7,36403,19,1,1,1,1
"Luke",13,0,8,35134,19,2,1,0,0
"Paul",12,0,9,36300,19,3,1,1,0
"Mark",11,0,10,35895,19,4,1,0,0
"James",11,0,10,34983,19,5,0,0,0
"Anthony",10,0,11,35293,19,6,0,0,0
"Jordan",9,0,12,34270,19,7,0,0,0
"Simon",4,0,17,33393,19,8,0,0,0
"Lester",15,0,6,36836,20,1,1,1,0
"Mark",12,0,9,36503,20,2,1,1,1
"Paul",12,0,9,36360,20,3,1,0,0
"Luke",12,0,9,35197,20,4,1,0,0
"James",11,0,10,34526,20,5,0,0,0
"Anthony",9,0,12,35444,20,6,0,0,0
"Jordan",9,0,12,34137,20,7,0,0,0
"Simon",4,0,17,33399,20,8,0,0,0
"Lester",16,0,5,37158,21,1,1,1,1
"Paul",13,0,8,36202,21,2,1,1,0
"Luke",12,0,9,35069,21,3,1,0,0
"Mark",11,0,10,35893,21,4,1,0,0
"James",10,0,11,34349,21,5,0,0,0
"Anthony",9,0,12,35234,21,6,0,0,0
"Jordan",9,0,12,34223,21,7,0,0,0
"Simon",4,0,17,33038,21,8,0,0,0
"Lester",15,0,6,36670,22,1,1,1,1
"Paul",13,0,8,36352,22,2,1,1,0
"Luke",12,0,9,35020,22,3,1,0,0
"James",12,0,9,34880,22,4,1,0,0
"Mark",11,0,10,36029,22,5,0,0,0
"Anthony",9,0,12,35186,22,6,0,0,0
"Jordan",7,0,14,33873,22,7,0,0,0
"Simon",5,0,16,33827,22,8,0,0,0
"Lester",16,0,5,36998,23,1,1,1,1
"Paul",13,0,8,36394,23,2,1,1,0
"Mark",11,0,10,36101,23,3,1,0,0
"Luke",11,0,10,34546,23,4,1,0,0
"James",11,0,10,34503,23,5,0,0,0
"Anthony",10,0,11,35598,23,6,0,0,0
"Jordan",7,0,14,34069,23,7,0,0,0
"Simon",5,0,16,33535,23,8,0,0,0
"Lester",15,0,6,36490,24,1,1,1,0
"Paul",14,0,7,36517,24,2,1,1,1
"Luke",13,0,8,35353,24,3,1,0,0
"James",11,0,10,34724,24,4,1,0,0
"Mark",10,0,11,35768,24,5,0,0,0
"Anthony",9,0,12,35558,24,6,0,0,0
"Jordan",9,0,12,34139,24,7,0,0,0
"Simon",3,0,18,33258,24,8,0,0,0
"Lester",14,0,7,36595,25,1,1,1,1
"Mark",13,0,8,36525,25,2,1,0,0
"Paul",12,0,9,36600,25,3,1,1,0
"James",12,0,9,35073,25,4,1,0,0
"Luke",11,0,10,34988,25,5,0,0,0
"Anthony",9,0,12,34880,25,6,0,0,0
"Jordan",8,0,13,34225,25,7,0,0,0
"Simon",5,0,16,33785,25,8,0,0,0
"Lester",15,0,6,36982,26,1,1,1,1
"Luke",13,0,8,35368,26,2,1,1,0
"Paul",11,0,10,36284,26,3,1,0,0
"Mark",11,0,10,35622,26,4,1,0,0
"James",11,0,10,34794,26,5,0,0,0
"Anthony",10,0,11,35210,26,6,0,0,0
"Jordan",8,0,13,34414,26,7,0,0,0
"Simon",5,0,16,34215,26,8,0,0,0
"Lester",15,0,6,36471,27,1,1,0,0
"Luke",13,0,8,35122,27,2,1,0,0
"Paul",12,0,9,36077,27,3,1,1,0
"Mark",11,0,10,35833,27,4,1,1,1
"James",10,0,11,34721,27,5,0,0,0
"Jordan",10,0,11,34267,27,6,0,0,0
"Anthony",9,0,12,35015,27,7,0,0,0
"Simon",4,0,17,33687,27,8,0,0,0
"Lester",15,0,6,36800,28,1,1,0,0
"Paul",12,0,9,36510,28,2,1,0,0
"Mark",12,0,9,35997,28,3,1,1,1
"Luke",12,0,9,34885,28,4,1,1,0
"James",11,0,10,35200,28,5,0,0,0
"Anthony",9,0,12,35229,28,6,0,0,0
"Jordan",8,0,13,34103,28,7,0,0,0
"Simon",5,0,16,33481,28,8,0,0,0
"Lester",14,0,7,36529,29,1,1,1,1
"Luke",13,0,8,35243,29,2,1,0,0
"Mark",12,0,9,35956,29,3,1,1,0
"Paul",11,0,10,35972,29,4,1,0,0
"Anthony",10,0,11,35176,29,5,0,0,0
"James",10,0,11,34451,29,6,0,0,0
"Jordan",9,0,12,34167,29,7,0,0,0
"Simon",5,0,16,33600,29,8,0,0,0
"Lester",15,0,6,36524,30,1,1,0,0
"Paul",12,0,9,36275,30,2,1,1,1
"Luke",12,0,9,34922,30,3,1,0,0
"James",12,0,9,34890,30,4,1,1,0
"Mark",11,0,10,36109,30,5,0,0,0
"Anthony",9,0,12,35110,30,6,0,0,0
"Jordan",8,0,13,34195,30,7,0,0,0
"Simon",5,0,16,33993,30,8,0,0,0
"Lester",15,0,6,36813,31,1,1,0,0
"Mark",13,0,8,36016,31,2,1,1,1
"Paul",12,0,9,36518,31,3,1,0,0
"Luke",11,0,10,34625,31,4,1,1,0
"James",11,0,10,34491,31,5,0,0,0
"Anthony",9,0,12,35065,31,6,0,0,0
"Jordan",9,0,12,34679,31,7,0,0,0
"Simon",4,0,17,33303,31,8,0,0,0
"Lester",14,1,6,36978,32,1,1,1,1
"Paul",13,0,8,36481,32,2,1,1,0
"Luke",12,1,8,35078,32,3,1,0,0
"James",12,0,9,34794,32,4,1,0,0
"Mark",11,0,10,36198,32,5,0,0,0
"Anthony",9,0,12,35714,32,6,0,0,0
"Jordan",9,0,12,34189,32,7,0,0,0
"Simon",3,0,18,33584,32,8,0,0,0
"Lester",15,0,6,36650,33,1,1,0,0
"Luke",12,0,9,35130,33,2,1,1,0
"Paul",11,0,10,36306,33,3,1,0,0
"Mark",11,0,10,35954,33,4,1,1,1
"James",11,0,10,34861,33,5,0,0,0
"Anthony",9,0,12,35150,33,6,0,0,0
"Jordan",9,0,12,33959,33,7,0,0,0
"Simon",6,0,15,33738,33,8,0,0,0
"Luke",14,0,7,35052,34,1,1,0,0
"Paul",13,0,8,36782,34,2,1,1,1
"Lester",13,0,8,36461,34,3,1,0,0
"Mark",12,0,9,36324,34,4,1,1,0
"Anthony",10,0,11,35270,34,5,0,0,0
"James",10,0,11,34469,34,6,0,0,0
"Jordan",8,0,13,34061,34,7,0,0,0
"Simon",4,0,17,33401,34,8,0,0,0
"Paul",14,0,7,36798,35,1,1,1,1
"Mark",13,0,8,36744,35,2,1,1,0
"Lester",13,0,8,36633,35,3,1,0,0
"Luke",13,0,8,34896,35,4,1,0,0
"James",10,0,11,34512,35,5,0,0,0
"Anthony",8,0,13,35004,35,6,0,0,0
"Jordan",8,0,13,34201,35,7,0,0,0
"Simon",5,0,16,33717,35,8,0,0,0
"Paul",14,0,7,36444,36,1,1,1,1
"Lester",14,0,7,36414,36,2,1,1,0
"Luke",13,0,8,35143,36,3,1,0,0
"Mark",11,0,10,35889,36,4,1,0,0
"James",10,0,11,34350,36,5,0,0,0
"Anthony",9,0,12,34563,36,6,0,0,0
"Jordan",8,0,13,34172,36,7,0,0,0
"Simon",5,0,16,33923,36,8,0,0,0
"Lester",16,0,5,36748,37,1,1,1,1
"Paul",12,0,9,36181,37,2,1,0,0
"Luke",12,0,9,34709,37,3,1,1,0
"James",11,0,10,34720,37,4,1,0,0
"Mark",10,0,11,36093,37,5,0,0,0
"Anthony",9,0,12,35454,37,6,0,0,0
"Jordan",9,0,12,33941,37,7,0,0,0
"Simon",5,0,16,33280,37,8,0,0,0
"Lester",15,0,6,36922,38,1,1,1,1
"Luke",13,0,8,35341,38,2,1,0,0
"Paul",12,0,9,36681,38,3,1,1,0
"Mark",12,0,9,36199,38,4,1,0,0
"Jordan",10,0,11,34508,38,5,0,0,0
