"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",10,0,11,36260,15,4,1,1,1
"Anthony",9,0,12,34419,15,5,0,0,0
"Jordan",9,0,12,33488,15,6,0,0,0
"James",8,0,13,34720,15,7,0,0,0
"Simon",7,0,14,33596,15,8,0,0,0
"Lester",14,0,7,35923,16,1,1,1,0
"Paul",13,0,8,37319,16,2,1,0,0
"Anthony",12,0,9,35054,16,3,1,1,1
"Luke",11,0,10,34897,16,4,1,0,0
"Mark",10,0,11,35516,16,5,0,0,0
"James",9,0,12,34809,16,6,0,0,0
"Jordan",9,0,12,34317,16,7,0,0,0
"Simon",6,0,15,33492,16,8,0,0,0
"Lester",15,0,6,36016,17,1,1,0,0
"Mark",14,0,7,36571,17,2,1,1,0
"Paul",11,0,10,36119,17,3,1,0,0
"James",11,0,10,35381,17,4,1,1,1
"Luke",10,0,11,35078,17,5,0,0,0
"Anthony",9,0,12,34710,17,6,0,0,0
"Jordan",8,0,13,33526,17,7,0,0,0
"Simon",6,0,15,32978,17,8,0,0,0
"Lester",13,0,8,35087,18,1,1,0,0
"Mark",12,0,9,35617,18,2,1,0,0
"Paul",11,0,10,36307,18,3,1,1,1
"Anthony",11,0,10,35246,18,4,1,1,0
"Luke",11,0,10,34966,18,5,0,0,0
"James",11,0,10,34929,18,6,0,0,0
"Jordan",10,0,11,34093,18,7,0,0,0
"Simon",5,0,16,32842,18,8,0,0,0
"Lester",15,0,6,35916,19,1,1,0,0
"Anthony",13,0,8,35024,19,2,1,0,0
"Paul",12,0,9,36355,19,3,1,1,1
"Luke",11,0,10,34715,19,4,1,1,0
"Mark",9,0,12,35589,19,5,0,0,0
"Jordan",9,0,12,33789,19,6,0,0,0
"James",8,0,13,34437,19,7,0,0,0
"Simon",7,0,14,33687,19,8,0,0,0
"Paul",13,0,8,35844,20,1,1,1,1
"Lester",12,0,9,35499,20,2,1,1,0
"Anthony",12,0,9,35454,20,3,1,0,0
"Luke",12,0,9,35261,20,4,1,0,0
"Mark",11,0,10,35840,20,5,0,0,0
"James",11,0,10,35005,20,6,0,0,0
"Jordan",7,0,14,33219,20,7,0,0,0
"Simon",6,0,15,33507,20,8,0,0,0
"Lester",14,0,7,36018,21,1,1,0,0
"Paul",13,0,8,36480,21,2,1,1,1
"Mark",13,0,8,35604,21,3,1,0,0
"Luke",10,0,11,34813,21,4,1,1,0
"Jordan",10,0,11,34265,21,5,0,0,0
"James",9,0,12,35209,21,6,0,0,0
"Anthony",8,0,13,35041,21,7,0,0,0
"Simon",7,0,14,33401,21,8,0,0,0
"Lester",14,0,7,35546,22,1,1,1,0
"Mark",13,0,8,36073,22,2,1,0,0
"Paul",12,0,9,36101,22,3,1,1,1
"Luke",11,0,10,34897,22,4,1,0,0
"Anthony",10,0,11,34440,22,5,0,0,0
"Jordan",10,0,11,33675,22,6,0,0,0
"James",7,0,14,34467,22,7,0,0,0
"Simon",7,0,14,33546,22,8,0,0,0
"Lester",15,0,6,36594,23,1,1,0,0
"Anthony",14,0,7,35076,23,2,1,1,1
"Paul",12,0,9,36082,23,3,1,0,0
"Mark",12,0,9,35722,23,4,1,1,0
"Luke",12,0,9,33743,23,5,0,0,0
"Jordan",9,0,12,33295,23,6,0,0,0
"James",8,0,13,34636,23,7,0,0,0
"Simon",2,0,19,32981,23,8,0,0,0
"Lester",15,0,6,35999,24,1,1,1,1
"Mark",12,0,9,36256,24,2,1,0,0
"James",12,0,9,35130,24,3,1,1,0
"Anthony",11,0,10,35006,24,4,1,0,0
"Paul",10,0,11,35923,24,5,0,0,0
"Luke",10,0,11,34689,24,6,0,0,0
"Jordan",9,0,12,33666,24,7,0,0,0
"Simon",5,0,16,32815,24,8,0,0,0
"Lester",15,0,6,35884,25,1,1,1,0
"Paul",13,0,8,36712,25,2,1,1,1
"Luke",13,0,8,35009,25,3,1,0,0
"Mark",10,0,11,35501,25,4,1,0,0
"Anthony",10,0,11,35102,25,5,0,0,0
"Jordan",10,0,11,33404,25,6,0,0,0
"James",8,0,13,35029,25,7,0,0,0
"Simon",5,0,16,33143,25,8,0,0,0
"Lester",15,0,6,36015,26,1,1,1,1
"Anthony",14,0,7,35790,26,2,1,1,0
"James",12,0,9,35088,26,3,1,0,0
"Luke",12,0,9,34129,26,4,1,0,0
"Paul",10,0,11,35906,26,5,0,0,0
"Mark",10,0,11,35039,26,6,0,0,0
"Jordan",6,0,15,33045,26,7,0,0,0
"Simon",5,0,16,32454,26,8,0,0,0
"Lester",14,0,7,36352,27,1,1,1,0
"Luke",14,0,7,35465,27,2,1,1,1
"Paul",11,0,10,36316,27,3,1,0,0
"Mark",11,0,10,35656,27,4,1,0,0
"Anthony",10,0,11,35487,27,5,0,0,0
"James",10,0,11,35094,27,6,0,0,0
"Jordan",9,0,12,33601,27,7,0,0,0
"Simon",5,0,16,33483,27,8,0,0,0
"Lester",14,0,7,36460,28,1,1,1,0
"Paul",13,0,8,36377,28,2,1,1,1
"Mark",12,0,9,36087,28,3,1,0,0
"James",11,0,10,34355,28,4,1,0,0
"Luke",10,0,11,35099,28,5,0,0,0
"Jordan",10,0,11,33513,28,6,0,0,0
"Anthony",9,0,12,34349,28,7,0,0,0
"Simon",5,0,16,33028,28,8,0,0,0
"Lester",14,0,7,35865,29,1,1,0,0
"Luke",13,0,8,35103,29,2,1,0,0
"Paul",12,0,9,36343,29,3,1,1,1
"Mark",11,0,10,35927,29,4,1,1,0
"Anthony",11,0,10,34979,29,5,0,0,0
"Jordan",10,0,11,33821,29,6,0,0,0
"James",8,0,13,34535,29,7,0,0,0
"Simon",5,0,16,32928,29,8,0,0,0
"Paul",14,0,7,36454,30,1,1,0,0
"Mark",13,0,8,35887,30,2,1,0,0
"Lester",12,0,9,36017,30,3,1,1,1
"Luke",12,0,9,35070,30,4,1,1,0
"Anthony",10,0,11,35143,30,5,0,0,0
"James",9,0,12,34876,30,6,0,0,0
"Jordan",8,0,13,33926,30,7,0,0,0
"Simon",6,0,15,33519,30,8,0,0,0
"Lester",16,0,5,36663,31,1,1,1,1
"Paul",15,0,6,36857,31,2,1,0,0
"Mark",13,0,8,35358,31,3,1,1,0
"Luke",11,0,10,34560,31,4,1,0,0
"Jordan",9,0,12,34478,31,5,0,0,0
"Anthony",8,0,13,34229,31,6,0,0,0
"James",7,0,14,34685,31,7,0,0,0
"Simon",5,0,16,33197,31,8,0,0,0
"Paul",13,0,8,36502,32,1,1,1,1
"Lester",13,0,8,35624,32,2,1,0,0
"Anthony",12,0,9,35141,32,3,1,1,0
"Luke",12,0,9,35090,32,4,1,0,0
"Jordan",11,0,10,34217,32,5,0,0,0
"Mark",10,0,11,35027,32,6,0,0,0
"James",7,0,14,34265,32,7,0,0,0
"Simon",6,0,15,33214,32,8,0,0,0
"Paul",14,0,7,36114,33,1,1,1,0
"Mark",12,0,9,36291,33,2,1,0,0
"Lester",12,0,9,35846,33,3,1,1,1
"James",12,0,9,35631,33,4,1,0,0
"Anthony",10,0,11,34538,33,5,0,0,0
"Luke",9,0,12,35199,33,6,0,0,0
"Jordan",9,0,12,33991,33,7,0,0,0
"Simon",6,0,15,33583,33,8,0,0,0
"Paul",14,0,7,36584,34,1,1,1,1
"Lester",14,0,7,36142,34,2,1,0,0
"Luke",11,0,10,34521,34,3,1,1,0
"Mark",10,0,11,35326,34,4,1,0,0
"Anthony",10,0,11,34738,34,5,0,0,0
"James",9,0,12,34876,34,6,0,0,0
"Jordan",9,0,12,34013,34,7,0,0,0
"Simon",7,0,14,33460,34,8,0,0,0
"Paul",14,0,7,36564,35,1,1,1,0
"Lester",13,0,8,35795,35,2,1,1,1
"James",11,0,10,35694,35,3,1,0,0
"Mark",11,0,10,35470,35,4,1,0,0
"Anthony",10,0,11,34859,35,5,0,0,0
"Jordan",10,0,11,33491,35,6,0,0,0
"Luke",9,0,12,34734,35,7,0,0,0
"Simon",6,0,15,33774,35,8,0,0,0
"Lester",13,0,8,35929,36,1,1,0,0
"Paul",12,0,9,36474,36,2,1,1,1
"Mark",12,0,9,35287,36,3,1,0,0
"Luke",12,0,9,34573,36,4,1,1,0
"Jordan",11,0,10,34164,36,5,0,0,0
"James",10,0,11,34951,36,6,0,0,0
"Anthony",7,0,14,34446,36,7,0,0,0
"Simon",7,0,14,33189,36,8,0,0,0
"Mark",15,0,6,36490,37,1,1,1,0
"Lester",14,0,7,35942,37,2,1,1,1
"Paul",11,0,10,36753,37,3,1,0,0
"Anthony",11,0,10,35294,37,4,1,0,0
"Luke",11,0,10,34425,37,5,0,0,0
"James",8,0,13,34828,37,6,0,0,0
"Jordan",7,0,14,33645,37,7,0,0,0
"Simon",7,0,14,33604,37,8,0,0,0
"Lester",17,0,4,36102,38,1,1,1,0
"Paul",13,0,8,36589,38,2,1,1,1
"Mark",13,0,8,35918,38,3,1,0,0
"Anthony",10,0,11,35220,38,4,1,0,0
"Luke",10,0,11,34631,38,5,0,0,0
"Jordan",8,0,13,33786,38,6,0,0,0
"James",7,0,14,33686,38,7,0,0,0
"Simon",6,0,15,33978,38,8,0,0,0
"Paul",13,0,8,36281,39,1,1,0,0
"Lester",13,0,8,35859,39,2,1,0,0
"Mark",12,0,9,35602,39,3,1,1,1
"Anthony",12,0,9,35562,39,4,1,1,0
"Luke",12,0,9,35095,39,5,0,0,0
"James",11,0,10,35104,39,6,0,0,0
"Jordan",8,0,13,33549,39,7,0,0,0
"Simon",3,0,18,33316,39,8,0,0,0
"Lester",15,0,6,36357,40,1,1,0,0
"Paul",13,0,8,36436,40,2,1,0,0
"Mark",13,0,8,36190,40,3,1,1,1
"Luke",11,1,9,35099,40,4,1,1,0
"Anthony",10,0,11,35186,40,5,0,0,0
"James",9,0,12,34461,40,6,0,0,0
"Jordan",8,0,13,33431,40,7,0,0,0
"Simon",4,1,16,33128,40,8,0,0,0
"Luke",14,0,7,35439,41,1,1,1,1
"Lester",13,0,8,35931,41,2,1,1,0
"Mark",13,0,8,35171,41,3,1,0,0
"Paul",12,0,9,36636,41,4,1,0,0
"Anthony",10,0,11,35048,41,5,0,0,0
"Jordan",9,0,12,33720,41,6,0,0,0
"James",8,0,13,33965,41,7,0,0,0
"Simon",5,0,16,33295,41,8,0,0,0
"Lester",17,0,4,36560,42,1,1,1,0
"Paul",12,0,9,36378,42,2,1,1,1
"Anthony",12,0,9,35569,42,3,1,0,0
"Luke",12,0,9,35497,42,4,1,0,0
"Mark",11,0,10,35605,42,5,0,0,0
"James",11,0,10,35376,42,6,0,0,0
"Jordan",7,0,14,32966,42,7,0,0,0
"Simon",2,0,19,32603,42,8,0,0,0
"Lester",14,0,7,35577,43,1,1,0,0
"Mark",12,0,9,36464,43,2,1,1,1
"Anthony",11,0,10,34877,43,3,1,0,0
"Paul",10,0,11,35983,43,4,1,1,0
"James",10,0,11,35395,43,5,0,0,0
"Luke",10,0,11,34452,43,6,0,0,0
"Jordan",10,0,11,34124,43,7,0,0,0
"Simon",7,0,14,33692,43,8,0,0,0
"Lester",16,0,5,36428,44,1,1,0,0
"Paul",14,0,7,37030,44,2,1,1,1
"Luke",12,0,9,35052,44,3,1,0,0
"Mark",11,0,10,35733,44,4,1,1,0
"James",10,0,11,34880,44,5,0,0,0
"Anthony",9,0,12,35028,44,6,0,0,0
"Simon",7,0,14,33868,44,7,0,0,0
"Jordan",5,0,16,33273,44,8,0,0,0
"Lester",14,0,7,35746,45,1,1,0,0
"James",12,0,9,35586,45,2,1,0,0
"Mark",12,0,9,35417,45,3,1,1,0
"Paul",11,0,10,36082,45,4,1,1,1
"Luke",11,0,10,34675,45,5,0,0,0
"Anthony",10,0,11,34968,45,6,0,0,0
"Jordan",8,0,13,34388,45,7,0,0,0
"Simon",6,0,15,33473,45,8,0,0,0
"Lester",17,0,4,36116,46,1,1,0,0
"Anthony",14,0,7,35613,46,2,1,1,1
"Luke",12,0,9,35490,46,3,1,0,0
"Paul",11,0,10,37192,46,4,1,1,0
"Mark",11,0,10,34901,46,5,0,0,0
"James",10,0,11,35208,46,6,0,0,0
"Jordan",6,0,15,33263,46,7,0,0,0
"Simon",3,0,18,32487,46,8,0,0,0
"Lester",14,0,7,35872,47,1,1,1,0
"Luke",12,0,9,34855,47,2,1,1,1
"Paul",11,0,10,36138,47,3,1,0,0
"Anthony",11,0,10,35564,47,4,1,0,0
"Mark",11,0,10,35458,47,5,0,0,0
"Jordan",10,0,11,34190,47,6,0,0,0
"James",9,0,12,35091,47,7,0,0,0
"Simon",6,0,15,32924,47,8,0,0,0
"Lester",14,0,7,36144,48,1,1,1,1
"Mark",13,0,8,35547,48,2,1,1,0
"James",12,0,9,35643,48,3,1,0,0
"Luke",11,0,10,35076,48,4,1,0,0
"Paul",10,0,11,36098,48,5,0,0,0
"Anthony",10,0,11,34526,48,6,0,0,0
"Simon",7,0,14,33565,48,7,0,0,0
"Jordan",7,0,14,33526,48,8,0,0,0
"Lester",15,0,6,36390,49,1,1,1,1
"Anthony",13,0,8,34914,49,2,1,0,0
"Mark",10,0,11,35522,49,3,1,1,0
"Paul",10,0,11,35451,49,4,1,0,0
"James",10,0,11,34679,49,5,0,0,0
"Luke",10,0,11,34277,49,6,0,0,0
"Jordan",10,0,11,33689,49,7,0,0,0
"Simon",6,0,15,33529,49,8,0,0,0
"Lester",16,0,5,36108,50,1,1,1,1
"Mark",13,0,8,35902,50,2,1,0,0
"Paul",11,0,10,36267,50,3,1,1,0
"Anthony",11,0,10,34857,50,4,1,0,0
"James",10,0,11,34770,50,5,0,0,0
"Luke",10,0,11,34435,50,6,0,0,0
"Jordan",8,0,13,33708,50,7,0,0,0
"Simon",5,0,16,32964,50,8,0,0,0
"Paul",13,0,8,36905,51,1,1,1,0
"Luke",13,0,8,35230,51,2,1,0,0
"Lester",12,0,9,36250,51,3,1,1,1
"Anthony",12,0,9,35027,51,4,1,0,0
"Mark",11,0,10,35706,51,5,0,0,0
"Jordan",9,0,12,34198,51,6,0,0,0
"James",8,0,13,34858,51,7,0,0,0
"Simon",6,0,15,33604,51,8,0,0,0
"Lester",14,0,7,36142,52,1,1,1,1
"Paul",14,0,7,35719,52,2,1,0,0
"Luke",13,0,8,35496,52,3,1,1,0
"Mark",11,0,10,35246,52,4,1,0,0
"Anthony",11,0,10,34654,52,5,0,0,0
"Jordan",9,0,12,33374,52,6,0,0,0
"James",7,0,14,34407,52,7,0,0,0
"Simon",5,0,16,33237,52,8,0,0,0
"Lester",14,0,7,35774,53,1,1,0,0
"Paul",13,0,8,36403,53,2,1,1,1
"Mark",12,0,9,35903,53,3,1,0,0
"Luke",11,0,10,34622,53,4,1,1,0
"James",10,0,11,34754,53,5,0,0,0
"Anthony",9,0,12,35165,53,6,0,0,0
