"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",13,0,8,36530,1,1,1,1,1
"Luke",13,0,8,35290,1,2,1,1,0
"Anthony",12,0,9,35605,1,3,1,0,0
"Paul",11,0,10,36194,1,4,1,0,0
"Mark",11,0,10,35900,1,5,0,0,0
"James",10,0,11,34856,1,6,0,0,0
"Jordan",9,0,12,34215,1,7,0,0,0
"Simon",5,0,16,33718,1,8,0,0,0
"Lester",14,0,7,36689,2,1,1,1,1
"Paul",13,0,8,36526,2,2,1,1,0
"Luke",13,0,8,34731,2,3,1,0,0
"Mark",11,0,10,36135,2,4,1,0,0
"Anthony",10,0,11,35731,2,5,0,0,0
"James",10,0,11,34769,2,6,0,0,0
"Jordan",8,0,13,34289,2,7,0,0,0
"Simon",5,0,16,33943,2,8,0,0,0
"Paul",13,0,8,36762,3,1,1,1,1
"Lester",13,0,8,36162,3,2,1,1,0
"Luke",13,0,8,34726,3,3,1,0,0
"Anthony",12,0,9,35476,3,4,1,0,0
"Mark",11,0,10,36323,3,5,0,0,0
"James",9,0,12,34794,3,6,0,0,0
"Jordan",8,0,13,34392,3,7,0,0,0
"Simon",5,0,16,33853,3,8,0,0,0
"Lester",15,0,6,36575,4,1,1,1,1
"Paul",13,0,8,36554,4,2,1,1,0
"Luke",12,0,9,35140,4,3,1,0,0
"Mark",11,0,10,36287,4,4,1,0,0
"James",10,0,11,34781,4,5,0,0,0
"Jordan",9,0,12,34439,4,6,0,0,0
"Anthony",8,0,13,35302,4,7,0,0,0
"Simon",6,0,15,33766,4,8,0,0,0
"Luke",14,0,7,35483,5,1,1,0,0
"Paul",13,0,8,36830,5,2,1,0,0
"Lester",13,0,8,36433,5,3,1,1,0
"Mark",12,0,9,36016,5,4,1,1,1
"James",11,0,10,34900,5,5,0,0,0
"Anthony",10,0,11,35184,5,6,0,0,0
"Jordan",8,0,13,34532,5,7,0,0,0
"Simon",3,0,18,33474,5,8,0,0,0
"Lester",13,0,8,36422,6,1,1,0,0
"Luke",13,0,8,35448,6,2,1,0,0
"Mark",12,0,9,35588,6,3,1,1,1
"Paul",11,0,10,36115,6,4,1,1,0
"Anthony",11,0,10,35401,6,5,0,0,0
