"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,36499,1,1,1,0,0
"Luke",14,0,7,35295,1,2,1,1,0
"Paul",12,0,9,36138,1,3,1,0,0
"Mark",11,0,10,36288,1,4,1,1,1
"James",10,0,11,34737,1,5,0,0,0
"Jordan",10,0,11,34274,1,6,0,0,0
"Anthony",9,0,12,35433,1,7,0,0,0
"Simon",4,0,17,33172,1,8,0,0,0
"Lester",15,0,6,36689,2,1,1,0,0
"Luke",13,0,8,35126,2,2,1,0,0
"Paul",12,0,9,36134,2,3,1,1,1
"Mark",11,0,10,36136,2,4,1,1,0
"Anthony",10,0,11,35120,2,5,0,0,0
"James",10,0,11,34834,2,6,0,0,0
"Jordan",9,0,12,34288,2,7,0,0,0
"Simon",4,0,17,33264,2,8,0,0,0
"Lester",14,0,7,36460,3,1,1,1,1
"Luke",13,0,8,35210,3,2,1,0,0
"Paul",12,0,9,36141,3,3,1,1,0
"Mark",11,0,10,35756,3,4,1,0,0
"James",11,0,10,34797,3,5,0,0,0
"Jordan",10,0,11,34031,3,6,0,0,0
"Anthony",9,0,12,35000,3,7,0,0,0
"Simon",4,0,17,33217,3,8,0,0,0
"Lester",15,0,6,36691,4,1,1,1,1
"Paul",12,0,9,36158,4,2,1,1,0
"Luke",12,0,9,34909,4,3,1,0,0
"Mark",11,0,10,35929,4,4,1,0,0
"Anthony",10,0,11,35519,4,5,0,0,0
"James",10,0,11,34525,4,6,0,0,0
"Jordan",10,0,11,34428,4,7,0,0,0
"Simon",4,0,17,33142,4,8,0,0,0
"Lester",14,0,7,36743,5,1,1,1,0
"Paul",13,0,8,36717,5,2,1,1,1
"Luke",13,0,8,35270,5,3,1,0,0
"Mark",11,0,10,35802,5,4,1,0,0
"Anthony",10,0,11,35581,5,5,0,0,0
"James",9,0,12,34434,5,6,0,0,0
"Jordan",9,0,12,34214,5,7,0,0,0
"Simon",5,0,16,33788,5,8,0,0,0
"Lester",15,0,6,36870,6,1,1,1,1
"Luke",12,0,9,35007,6,2,1,0,0
"Paul",11,0,10,36199,6,3,1,1,0
"Mark",11,0,10,36042,6,4,1,0,0
"Anthony",10,0,11,35317,6,5,0,0,0
"James",10,0,11,34841,6,6,0,0,0
"Jordan",9,0,12,34342,6,7,0,0,0
"Simon",6,0,15,33877,6,8,0,0,0
"Lester",13,0,8,36417,7,1,1,1,1
"Luke",13,0,8,35157,7,2,1,0,0
"Paul",12,0,9,36245,7,3,1,1,0
"Mark",11,0,10,35939,7,4,1,0,0
"Anthony",11,0,10,35477,7,5,0,0,0
"James",10,0,11,34687,7,6,0,0,0
"Jordan",8,0,13,34105,7,7,0,0,0
"Simon",6,0,15,33594,7,8,0,0,0
"Lester",14,0,7,36685,8,1,1,0,0
"Luke",13,0,8,34957,8,2,1,0,0
"Paul",12,0,9,36177,8,3,1,1,1
"Mark",11,0,10,35871,8,4,1,1,0
"Anthony",11,0,10,35444,8,5,0,0,0
"James",9,0,12,34470,8,6,0,0,0
"Jordan",9,0,12,34054,8,7,0,0,0
"Simon",5,0,16,33415,8,8,0,0,0
"Lester",14,0,7,36696,9,1,1,0,0
"Luke",13,0,8,35098,9,2,1,0,0
"Paul",12,0,9,36152,9,3,1,1,1
"Mark",12,0,9,36096,9,4,1,1,0
"James",10,0,11,34346,9,5,0,0,0
"Jordan",10,0,11,34165,9,6,0,0,0
"Anthony",9,0,12,35126,9,7,0,0,0
"Simon",4,0,17,33234,9,8,0,0,0
"Lester",14,0,7,36923,10,1,1,1,0
"Paul",13,0,8,36556,10,2,1,1,1
"Luke",12,0,9,35130,10,3,1,0,0
"Mark",11,0,10,35675,10,4,1,0,0
"James",11,0,10,34824,10,5,0,0,0
"Anthony",10,0,11,35080,10,6,0,0,0
"Jordan",8,0,13,33691,10,7,0,0,0
"Simon",5,0,16,33618,10,8,0,0,0
"Lester",14,0,7,36623,11,1,1,1,1
"Paul",13,0,8,36239,11,2,1,0,0
"Luke",12,0,9,34870,11,3,1,1,0
"Mark",11,0,10,36082,11,4,1,0,0
"Anthony",11,0,10,35671,11,5,0,0,0
"James",10,0,11,34569,11,6,0,0,0
"Jordan",9,0,12,34112,11,7,0,0,0
"Simon",4,0,17,33234,11,8,0,0,0
"Lester",14,0,7,36870,12,1,1,1,0
"Luke",14,0,7,35603,12,2,1,0,0
"Paul",13,0,8,36365,12,3,1,1,1
"Mark",10,0,11,35804,12,4,1,0,0
"Anthony",10,0,11,35581,12,5,0,0,0
