"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",13,0,8,35429,1,1,1,1,0
"Jordan",13,0,8,34891,1,2,1,0,0
"Lester",12,0,9,35798,1,3,1,1,1
"Luke",12,0,9,35234,1,4,1,0,0
"Anthony",11,0,10,35116,1,5,0,0,0
"Mark",10,0,11,35896,1,6,0,0,0
"James",9,0,12,35230,1,7,0,0,0
"Simon",4,0,17,33364,1,8,0,0,0
"Lester",15,0,6,36981,2,1,1,1,1
"Paul",14,0,7,36407,2,2,1,1,0
"Luke",12,0,9,35971,2,3,1,0,0
"Jordan",11,0,10,34669,2,4,1,0,0
"James",10,0,11,34550,2,5,0,0,0
"Mark",9,0,12,35570,2,6,0,0,0
"Anthony",9,0,12,35199,2,7,0,0,0
"Simon",4,0,17,33850,2,8,0,0,0
"Paul",14,0,7,36302,3,1,1,1,1
"Lester",14,0,7,35602,3,2,1,1,0
"James",11,0,10,35137,3,3,1,0,0
"Mark",11,0,10,35133,3,4,1,0,0
"Luke",11,0,10,34398,3,5,0,0,0
"Jordan",10,0,11,34993,3,6,0,0,0
"Anthony",8,0,13,34800,3,7,0,0,0
"Simon",5,0,16,33743,3,8,0,0,0
"Lester",13,0,8,36005,4,1,1,0,0
"Mark",12,0,9,35997,4,2,1,1,0
"Luke",12,0,9,35527,4,3,1,0,0
"Paul",11,0,10,35589,4,4,1,1,1
"James",10,0,11,34880,4,5,0,0,0
"Anthony",10,0,11,34786,4,6,0,0,0
"Jordan",10,0,11,34396,4,7,0,0,0
"Simon",6,0,15,34126,4,8,0,0,0
"Lester",17,0,4,35924,5,1,1,0,0
"Paul",13,0,8,35968,5,2,1,0,0
"Anthony",13,0,8,35526,5,3,1,1,0
"Mark",11,0,10,35006,5,4,1,1,1
"Jordan",9,0,12,33907,5,5,0,0,0
"Luke",8,0,13,35003,5,6,0,0,0
"James",8,0,13,34495,5,7,0,0,0
"Simon",5,0,16,33170,5,8,0,0,0
"Lester",14,0,7,36239,6,1,1,0,0
"Luke",13,0,8,35529,6,2,1,0,0
"Paul",12,0,9,36280,6,3,1,1,1
"Mark",12,0,9,36265,6,4,1,1,0
"Jordan",9,0,12,34731,6,5,0,0,0
"James",9,0,12,34294,6,6,0,0,0
"Anthony",8,0,13,34649,6,7,0,0,0
