"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,36729,1,1,1,1,0
"Paul",13,0,8,36191,1,2,1,1,1
"Luke",13,0,8,34992,1,3,1,0,0
"Mark",11,0,10,36118,1,4,1,0,0
"Anthony",10,1,10,35455,1,5,0,0,0
"James",9,1,11,34571,1,6,0,0,0
"Jordan",8,0,13,33986,1,7,0,0,0
"Simon",5,0,16,33603,1,8,0,0,0
"Lester",14,0,7,36729,2,1,1,1,0
"Paul",13,0,8,36191,2,2,1,1,1
"Luke",13,0,8,34992,2,3,1,0,0
"Mark",11,0,10,36118,2,4,1,0,0
"Anthony",10,1,10,35455,2,5,0,0,0
"James",9,1,11,34571,2,6,0,0,0
"Jordan",8,0,13,33986,2,7,0,0,0
"Simon",5,0,16,33603,2,8,0,0,0
"Lester",14,0,7,36729,3,1,1,1,1
"Paul",13,0,8,36191,3,2,1,1,0
"Luke",13,0,8,34992,3,3,1,0,0
"Mark",11,0,10,36118,3,4,1,0,0
"Anthony",10,1,10,35455,3,5,0,0,0
"James",9,1,11,34571,3,6,0,0,0
"Jordan",8,0,13,33986,3,7,0,0,0
"Simon",5,0,16,33603,3,8,0,0,0
"Lester",14,0,7,36729,4,1,1,1,0
"Paul",13,0,8,36191,4,2,1,1,1
"Luke",13,0,8,34992,4,3,1,0,0
"Mark",11,0,10,36118,4,4,1,0,0
"Anthony",10,1,10,35455,4,5,0,0,0
"James",9,1,11,34571,4,6,0,0,0
"Jordan",8,0,13,33986,4,7,0,0,0
"Simon",5,0,16,33603,4,8,0,0,0
"Lester",14,0,7,36729,5,1,1,0,0
"Paul",13,0,8,36191,5,2,1,1,1
"Luke",13,0,8,34992,5,3,1,0,0
"Mark",11,0,10,36118,5,4,1,1,0
"Anthony",10,1,10,35455,5,5,0,0,0
"James",9,1,11,34571,5,6,0,0,0
"Jordan",8,0,13,33986,5,7,0,0,0
"Simon",5,0,16,33603,5,8,0,0,0
"Lester",14,0,7,36729,6,1,1,1,0
"Paul",13,0,8,36191,6,2,1,0,0
"Luke",13,0,8,34992,6,3,1,1,1
"Mark",11,0,10,36118,6,4,1,0,0
"Anthony",10,1,10,35455,6,5,0,0,0
"James",9,1,11,34571,6,6,0,0,0
"Jordan",8,0,13,33986,6,7,0,0,0
"Simon",5,0,16,33603,6,8,0,0,0
"Lester",14,0,7,36729,7,1,1,0,0
"Paul",13,0,8,36191,7,2,1,1,0
"Luke",13,0,8,34992,7,3,1,0,0
"Mark",11,0,10,36118,7,4,1,1,1
"Anthony",10,1,10,35455,7,5,0,0,0
"James",9,1,11,34571,7,6,0,0,0
"Jordan",8,0,13,33986,7,7,0,0,0
"Simon",5,0,16,33603,7,8,0,0,0
"Lester",14,0,7,36729,8,1,1,1,0
"Paul",13,0,8,36191,8,2,1,1,1
"Luke",13,0,8,34992,8,3,1,0,0
"Mark",11,0,10,36118,8,4,1,0,0
"Anthony",10,1,10,35455,8,5,0,0,0
"James",9,1,11,34571,8,6,0,0,0
"Jordan",8,0,13,33986,8,7,0,0,0
"Simon",5,0,16,33603,8,8,0,0,0
"Lester",14,0,7,36729,9,1,1,1,0
"Paul",13,0,8,36191,9,2,1,1,1
"Luke",13,0,8,34992,9,3,1,0,0
"Mark",11,0,10,36118,9,4,1,0,0
"Anthony",10,1,10,35455,9,5,0,0,0
"James",9,1,11,34571,9,6,0,0,0
"Jordan",8,0,13,33986,9,7,0,0,0
"Simon",5,0,16,33603,9,8,0,0,0
"Lester",14,0,7,36729,10,1,1,1,0
"Paul",13,0,8,36191,10,2,1,1,1
"Luke",13,0,8,34992,10,3,1,0,0
"Mark",11,0,10,36118,10,4,1,0,0
"Anthony",10,1,10,35455,10,5,0,0,0
"James",9,1,11,34571,10,6,0,0,0
"Jordan",8,0,13,33986,10,7,0,0,0
"Simon",5,0,16,33603,10,8,0,0,0
"Lester",14,0,7,36729,11,1,1,1,1
"Paul",13,0,8,36191,11,2,1,1,0
"Luke",13,0,8,34992,11,3,1,0,0
"Mark",11,0,10,36118,11,4,1,0,0
"Anthony",10,1,10,35455,11,5,0,0,0
"James",9,1,11,34571,11,6,0,0,0
"Jordan",8,0,13,33986,11,7,0,0,0
"Simon",5,0,16,33603,11,8,0,0,0
"Lester",14,0,7,36729,12,1,1,1,1
"Paul",13,0,8,36191,12,2,1,0,0
"Luke",13,0,8,34992,12,3,1,1,0
"Mark",11,0,10,36118,12,4,1,0,0
"Anthony",10,1,10,35455,12,5,0,0,0
"James",9,1,11,34571,12,6,0,0,0
"Jordan",8,0,13,33986,12,7,0,0,0
"Simon",5,0,16,33603,12,8,0,0,0
"Lester",14,0,7,36729,13,1,1,0,0
"Paul",13,0,8,36191,13,2,1,1,1
"Luke",13,0,8,34992,13,3,1,0,0
"Mark",11,0,10,36118,13,4,1,1,0
"Anthony",10,1,10,35455,13,5,0,0,0
"James",9,1,11,34571,13,6,0,0,0
"Jordan",8,0,13,33986,13,7,0,0,0
"Simon",5,0,16,33603,13,8,0,0,0
"Lester",14,0,7,36729,14,1,1,1,1
"Paul",13,0,8,36191,14,2,1,1,0
"Luke",13,0,8,34992,14,3,1,0,0
"Mark",11,0,10,36118,14,4,1,0,0
"Anthony",10,1,10,35455,14,5,0,0,0
"James",9,1,11,34571,14,6,0,0,0
"Jordan",8,0,13,33986,14,7,0,0,0
"Simon",5,0,16,33603,14,8,0,0,0
"Lester",14,0,7,36729,15,1,1,1,1
"Paul",13,0,8,36191,15,2,1,0,0
"Luke",13,0,8,34992,15,3,1,1,0
"Mark",11,0,10,36118,15,4,1,0,0
"Anthony",10,1,10,35455,15,5,0,0,0
"James",9,1,11,34571,15,6,0,0,0
"Jordan",8,0,13,33986,15,7,0,0,0
"Simon",5,0,16,33603,15,8,0,0,0
"Lester",14,0,7,36729,16,1,1,1,1
"Paul",13,0,8,36191,16,2,1,0,0
"Luke",13,0,8,34992,16,3,1,1,0
"Mark",11,0,10,36118,16,4,1,0,0
"Anthony",10,1,10,35455,16,5,0,0,0
"James",9,1,11,34571,16,6,0,0,0
"Jordan",8,0,13,33986,16,7,0,0,0
"Simon",5,0,16,33603,16,8,0,0,0
"Lester",14,0,7,36729,17,1,1,0,0
"Paul",13,0,8,36191,17,2,1,1,0
"Luke",13,0,8,34992,17,3,1,0,0
"Mark",11,0,10,36118,17,4,1,1,1
"Anthony",10,1,10,35455,17,5,0,0,0
"James",9,1,11,34571,17,6,0,0,0
"Jordan",8,0,13,33986,17,7,0,0,0
"Simon",5,0,16,33603,17,8,0,0,0
"Lester",14,0,7,36729,18,1,1,1,1
"Paul",13,0,8,36191,18,2,1,0,0
"Luke",13,0,8,34992,18,3,1,1,0
"Mark",11,0,10,36118,18,4,1,0,0
"Anthony",10,1,10,35455,18,5,0,0,0
"James",9,1,11,34571,18,6,0,0,0
"Jordan",8,0,13,33986,18,7,0,0,0
"Simon",5,0,16,33603,18,8,0,0,0
"Lester",14,0,7,36729,19,1,1,0,0
"Paul",13,0,8,36191,19,2,1,0,0
"Luke",13,0,8,34992,19,3,1,1,0
