"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Anthony",17,0,4,36706,1,1,1,0,0
"Luke",13,0,8,37163,1,2,1,0,0
"Lester",11,0,10,36257,1,3,1,1,1
"James",11,0,10,35713,1,4,1,1,0
"Paul",9,0,12,36293,1,5,0,0,0
"Simon",8,0,13,35332,1,6,0,0,0
"Mark",8,0,13,35282,1,7,0,0,0
"Jordan",7,0,14,34730,1,8,0,0,0
"Luke",15,0,6,37433,2,1,1,1,0
"Anthony",13,0,8,36959,2,2,1,1,1
"Lester",11,0,10,35649,2,3,1,0,0
"Jordan",11,0,10,35201,2,4,1,0,0
"Mark",10,0,11,35118,2,5,0,0,0
"Simon",9,0,12,35427,2,6,0,0,0
"Paul",8,0,13,35678,2,7,0,0,0
"James",7,0,14,35088,2,8,0,0,0
"Anthony",14,1,6,36557,3,1,1,1,1
"Luke",14,0,7,37359,3,2,1,1,0
"Lester",13,0,8,36546,3,3,1,0,0
"Mark",10,0,11,35672,3,4,1,0,0
"Simon",9,0,12,35734,3,5,0,0,0
"Jordan",8,1,12,35465,3,6,0,0,0
"James",8,0,13,35659,3,7,0,0,0
"Paul",7,0,14,35576,3,8,0,0,0
"Lester",15,0,6,36567,4,1,1,0,0
"Luke",13,0,8,36713,4,2,1,1,1
"Anthony",13,0,8,36534,4,3,1,0,0
"Mark",11,0,10,35129,4,4,1,1,0
"James",9,0,12,35986,4,5,0,0,0
"Paul",9,0,12,35966,4,6,0,0,0
"Simon",7,0,14,35463,4,7,0,0,0
"Jordan",7,0,14,34967,4,8,0,0,0
"Anthony",15,0,6,36548,5,1,1,0,0
"Luke",14,0,7,36832,5,2,1,0,0
"Lester",13,0,8,36272,5,3,1,1,0
"Paul",9,0,12,36148,5,4,1,1,1
"Jordan",9,0,12,35341,5,5,0,0,0
"Simon",8,0,13,35588,5,6,0,0,0
"Mark",8,0,13,35314,5,7,0,0,0
"James",8,0,13,35295,5,8,0,0,0
"Luke",16,0,5,37417,6,1,1,1,0
"Anthony",14,0,7,36678,6,2,1,1,1
"Lester",11,0,10,36117,6,3,1,0,0
"Mark",11,0,10,35856,6,4,1,0,0
"Simon",9,0,12,36005,6,5,0,0,0
"Paul",9,0,12,35883,6,6,0,0,0
"Jordan",8,0,13,34927,6,7,0,0,0
"James",6,0,15,34704,6,8,0,0,0
"Anthony",14,0,7,36795,7,1,1,0,0
"Luke",14,0,7,36623,7,2,1,0,0
"Lester",13,0,8,36302,7,3,1,1,1
"Mark",11,0,10,35730,7,4,1,1,0
"Jordan",10,0,11,35589,7,5,0,0,0
"Simon",8,0,13,35885,7,6,0,0,0
"Paul",7,0,14,36109,7,7,0,0,0
"James",7,0,14,34902,7,8,0,0,0
"Luke",15,0,6,37632,8,1,1,1,0
"Anthony",14,0,7,36880,8,2,1,1,1
"Lester",12,0,9,36502,8,3,1,0,0
"James",11,0,10,35835,8,4,1,0,0
"Simon",10,0,11,35744,8,5,0,0,0
"Paul",8,0,13,35426,8,6,0,0,0
"Mark",7,0,14,34486,8,7,0,0,0
"Jordan",7,0,14,34418,8,8,0,0,0
"Anthony",17,0,4,36980,9,1,1,1,1
"Luke",12,0,9,37157,9,2,1,0,0
"Lester",12,0,9,35988,9,3,1,1,0
"Mark",10,0,11,35144,9,4,1,0,0
"Simon",9,0,12,35272,9,5,0,0,0
"James",8,0,13,35663,9,6,0,0,0
"Paul",8,0,13,35354,9,7,0,0,0
"Jordan",8,0,13,34379,9,8,0,0,0
"Lester",15,0,6,37298,10,1,1,1,1
"Anthony",14,0,7,36149,10,2,1,1,0
"Luke",13,0,8,36948,10,3,1,0,0
"Mark",10,0,11,35147,10,4,1,0,0
"James",9,0,12,35103,10,5,0,0,0
"Jordan",9,0,12,34906,10,6,0,0,0
"Simon",7,0,14,35426,10,7,0,0,0
"Paul",7,0,14,35316,10,8,0,0,0
"Luke",13,0,8,37211,11,1,1,1,1
"Lester",13,0,8,36905,11,2,1,1,0
"Anthony",13,0,8,36170,11,3,1,0,0
"James",11,0,10,35393,11,4,1,0,0
"Paul",10,0,11,36210,11,5,0,0,0
"Jordan",10,0,11,35178,11,6,0,0,0
"Mark",9,0,12,35077,11,7,0,0,0
"Simon",5,0,16,34866,11,8,0,0,0
"Anthony",15,0,6,37441,12,1,1,0,0
"Luke",14,0,7,37450,12,2,1,0,0
"Paul",12,0,9,35866,12,3,1,1,1
"Lester",11,0,10,36579,12,4,1,1,0
"Mark",10,0,11,35588,12,5,0,0,0
"James",9,0,12,35530,12,6,0,0,0
"Jordan",7,0,14,34533,12,7,0,0,0
"Simon",6,0,15,35568,12,8,0,0,0
"Anthony",18,0,3,37295,13,1,1,1,1
"Luke",15,0,6,36878,13,2,1,0,0
"Lester",11,0,10,36041,13,3,1,1,0
"James",9,0,12,35584,13,4,1,0,0
"Mark",9,0,12,35229,13,5,0,0,0
"Paul",8,0,13,35669,13,6,0,0,0
"Simon",8,0,13,35638,13,7,0,0,0
"Jordan",6,0,15,34628,13,8,0,0,0
"Luke",15,0,6,37429,14,1,1,0,0
"Anthony",15,0,6,36745,14,2,1,1,0
"Mark",13,0,8,35782,14,3,1,0,0
"James",11,0,10,35744,14,4,1,1,1
"Lester",10,0,11,36192,14,5,0,0,0
"Paul",10,0,11,35297,14,6,0,0,0
"Jordan",6,0,15,34522,14,7,0,0,0
"Simon",4,0,17,35211,14,8,0,0,0
"Anthony",16,0,5,37025,15,1,1,1,0
"Luke",13,0,8,37421,15,2,1,0,0
"Lester",13,0,8,36612,15,3,1,1,1
"Mark",11,0,10,35602,15,4,1,0,0
"Paul",10,0,11,35624,15,5,0,0,0
"Jordan",9,0,12,35258,15,6,0,0,0
