"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Simon",12,0,9,35621,15,4,1,0,0
"Mark",9,0,12,34783,15,5,0,0,0
"Paul",7,0,14,34637,15,6,0,0,0
"Jordan",7,0,14,33576,15,7,0,0,0
"James",7,0,14,33179,15,8,0,0,0
"Luke",17,0,4,36510,16,1,1,1,1
"Anthony",14,0,7,34721,16,2,1,0,0
"Lester",12,0,9,35244,16,3,1,1,0
"Simon",11,0,10,35292,16,4,1,0,0
"James",9,0,12,34239,16,5,0,0,0
"Mark",8,0,13,34381,16,6,0,0,0
"Paul",7,0,14,33835,16,7,0,0,0
"Jordan",6,0,15,32664,16,8,0,0,0
"Anthony",15,0,6,34774,17,1,1,1,1
"Luke",14,0,7,36327,17,2,1,0,0
"Mark",12,0,9,34166,17,3,1,1,0
"Simon",10,0,11,34928,17,4,1,0,0
"Lester",10,0,11,34444,17,5,0,0,0
"Paul",9,0,12,35350,17,6,0,0,0
"James",8,0,13,33822,17,7,0,0,0
"Jordan",6,0,15,33161,17,8,0,0,0
"Luke",16,0,5,36438,18,1,1,1,0
"Anthony",14,0,7,34654,18,2,1,1,1
"Lester",11,0,10,35298,18,3,1,0,0
"Mark",11,0,10,34348,18,4,1,0,0
"James",9,0,12,34655,18,5,0,0,0
"Simon",8,0,13,34886,18,6,0,0,0
"Jordan",8,0,13,33487,18,7,0,0,0
"Paul",7,0,14,34711,18,8,0,0,0
"Luke",15,0,6,36218,19,1,1,0,0
"Lester",14,0,7,35855,19,2,1,1,1
"Anthony",13,0,8,33953,19,3,1,0,0
"James",10,0,11,34356,19,4,1,1,0
"Mark",10,0,11,33856,19,5,0,0,0
"Simon",8,0,13,34986,19,6,0,0,0
"Jordan",8,0,13,33506,19,7,0,0,0
"Paul",6,0,15,34056,19,8,0,0,0
"Luke",16,0,5,36400,20,1,1,1,1
"Lester",13,0,8,36063,20,2,1,1,0
"Anthony",13,0,8,34894,20,3,1,0,0
"Simon",9,0,12,34595,20,4,1,0,0
"James",9,0,12,34291,20,5,0,0,0
"Jordan",9,0,12,34050,20,6,0,0,0
"Mark",8,0,13,34077,20,7,0,0,0
"Paul",7,0,14,34864,20,8,0,0,0
"Luke",15,0,6,36003,21,1,1,1,1
"Anthony",14,0,7,35090,21,2,1,1,0
"Lester",13,0,8,34750,21,3,1,0,0
"Mark",10,0,11,33860,21,4,1,0,0
"James",9,0,12,34070,21,5,0,0,0
"Paul",8,0,13,34839,21,6,0,0,0
"Simon",8,0,13,34313,21,7,0,0,0
"Jordan",7,0,14,33724,21,8,0,0,0
"Luke",15,0,6,36214,22,1,1,0,0
"Anthony",15,0,6,34965,22,2,1,1,0
"Lester",12,0,9,34968,22,3,1,0,0
"Mark",10,0,11,34022,22,4,1,1,1
"James",9,0,12,33793,22,5,0,0,0
"Simon",8,0,13,34910,22,6,0,0,0
"Jordan",8,0,13,33816,22,7,0,0,0
"Paul",7,0,14,34501,22,8,0,0,0
"Anthony",16,0,5,35228,23,1,1,1,0
"Luke",14,0,7,35597,23,2,1,1,1
"Lester",11,0,10,34015,23,3,1,0,0
"Mark",10,0,11,34146,23,4,1,0,0
"James",10,0,11,34110,23,5,0,0,0
"Simon",9,0,12,35209,23,6,0,0,0
"Paul",9,0,12,35016,23,7,0,0,0
"Jordan",5,0,16,32940,23,8,0,0,0
"Luke",17,0,4,36422,24,1,1,1,1
"Anthony",12,0,9,33790,24,2,1,1,0
"Lester",11,0,10,34089,24,3,1,0,0
"Paul",10,0,11,35454,24,4,1,0,0
"Mark",10,0,11,33701,24,5,0,0,0
"Simon",9,0,12,34207,24,6,0,0,0
"James",8,0,13,34037,24,7,0,0,0
"Jordan",7,0,14,33156,24,8,0,0,0
"Anthony",15,0,6,34622,25,1,1,0,0
"Luke",14,0,7,35689,25,2,1,0,0
"James",11,0,10,35161,25,3,1,1,0
"Simon",10,0,11,35304,25,4,1,1,1
"Lester",9,0,12,34428,25,5,0,0,0
"Mark",9,0,12,33729,25,6,0,0,0
"Paul",8,0,13,34881,25,7,0,0,0
"Jordan",8,0,13,33725,25,8,0,0,0
"Anthony",15,0,6,35412,26,1,1,0,0
"Luke",14,0,7,35780,26,2,1,0,0
"Lester",12,0,9,35545,26,3,1,1,1
"James",10,0,11,34153,26,4,1,1,0
"Simon",9,0,12,35088,26,5,0,0,0
"Paul",9,0,12,34849,26,6,0,0,0
"Mark",9,0,12,34151,26,7,0,0,0
