season,round,fixture,team_id,team,coach,team_score,opponent_team_id,opponent_team,opponent_coach,opponent_score,differential,win,draw,loss,position,points,wins,draws,losses,points_for,points_against,pcnt
2019,20,3,,Salt&VinegarCripps,MELONS,1694,,Man of Steele,KAPPAZ,1684,10,1,0,0,3,44,11,0,9,31483,31491,99.97
2019,20,2,,Casting Crouch,JMERC,1809,,DEVQON.1,LESTER,1631,178,1,0,0,4,40,10,0,10,31025,30733,100.95
2019,20,2,,DEVQON.1,LESTER,1631,,Casting Crouch,JMERC,1809,-178,0,0,1,5,36,9,0,11,32151,32020,100.41
2019,20,1,,Fire The Worpedo,GARTER,1623,,TryingAnewStratton,PMAC,1652,-29,0,0,1,6,36,9,0,11,31088,31527,98.61
2019,20,4,,Swimming n Titch,RICHO,1508,,Barbeques Treloar,CHIEF,1474,34,1,0,0,7,32,8,0,12,31976,33116,96.56
2019,20,4,,Barbeques Treloar,CHIEF,1474,,Swimming n Titch,RICHO,1508,-34,0,0,1,8,24,6,0,14,30147,31173,96.71
2019,21,1,,TryingAnewStratton,PMAC,1637,,DEVQON.1,LESTER,1383,254,1,0,0,1,60,15,0,6,33732,32518,103.73
2019,21,4,,Man of Steele,KAPPAZ,1559,,Barbeques Treloar,CHIEF,1624,-65,0,0,1,2,52,13,0,8,34097,32932,103.54
2019,21,2,,Salt&VinegarCripps,MELONS,1770,,Fire The Worpedo,GARTER,1713,57,1,0,0,3,48,12,0,9,33253,33204,100.15
2019,21,3,,Casting Crouch,JMERC,1618,,Swimming n Titch,RICHO,1777,-159,0,0,1,4,40,10,0,11,32643,32510,100.41
2019,21,1,,DEVQON.1,LESTER,1383,,TryingAnewStratton,PMAC,1637,-254,0,0,1,5,36,9,0,12,33534,33657,99.63
2019,21,2,,Fire The Worpedo,GARTER,1713,,Salt&VinegarCripps,MELONS,1770,-57,0,0,1,6,36,9,0,12,32801,33297,98.51
2019,21,3,,Swimming n Titch,RICHO,1777,,Casting Crouch,JMERC,1618,159,1,0,0,7,36,9,0,12,33753,34734,97.18
2019,21,4,,Barbeques Treloar,CHIEF,1624,,Man of Steele,KAPPAZ,1559,65,1,0,0,8,28,7,0,14,31771,32732,97.06
2019,22,1,,TryingAnewStratton,PMAC,1657,,Casting Crouch,JMERC,1610,47,1,0,0,1,,,,,,,
2019,22,2,,Man of Steele,KAPPAZ,1700,,Salt&VinegarCripps,MELONS,1662,38,1,0,0,2,,,,,,,
2019,22,2,,Salt&VinegarCripps,MELONS,1662,,Man of Steele,KAPPAZ,1700,-38,0,0,1,3,,,,,,,
2019,22,1,,Casting Crouch,JMERC,1610,,TryingAnewStratton,PMAC,1657,-47,0,0,1,4,,,,,,,
2019,23,1,,TryingAnewStratton,PMAC,1760,,Man of Steele,KAPPAZ,1833,-73,0,0,1,2,,,,,,,
2019,23,1,,Man of Steele,KAPPAZ,1833,,TryingAnewStratton,PMAC,1760,73,1,0,0,1,,,,,,,
