"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",12,1,8,36829,1,1,1,0,0
"Jordan",12,0,9,36961,1,2,1,0,0
"Luke",12,0,9,36244,1,3,1,1,0
"James",11,0,10,36119,1,4,1,1,1
"Simon",10,1,10,36603,1,5,0,0,0
"Anthony",10,0,11,35654,1,6,0,0,0
"Mark",9,0,12,36255,1,7,0,0,0
"Lester",7,0,14,34305,1,8,0,0,0
"Anthony",14,0,7,36922,2,1,1,1,1
"Luke",11,0,10,36330,2,2,1,0,0
"Mark",11,0,10,36077,2,3,1,1,0
"Paul",11,0,10,35874,2,4,1,0,0
"Jordan",10,0,11,36230,2,5,0,0,0
"Lester",10,0,11,34629,2,6,0,0,0
"James",9,0,12,35625,2,7,0,0,0
"Simon",8,0,13,35043,2,8,0,0,0
"Jordan",13,0,8,36814,3,1,1,0,0
"James",12,0,9,36460,3,2,1,1,1
"Mark",11,0,10,36267,3,3,1,0,0
"Paul",11,0,10,35938,3,4,1,1,0
"Simon",11,0,10,35293,3,5,0,0,0
"Lester",10,0,11,34452,3,6,0,0,0
"Luke",9,0,12,36056,3,7,0,0,0
"Anthony",7,0,14,35268,3,8,0,0,0
"Paul",13,0,8,36503,4,1,1,1,1
"Mark",13,0,8,36124,4,2,1,0,0
"Anthony",13,0,8,35914,4,3,1,1,0
"Luke",12,0,9,35904,4,4,1,0,0
"Jordan",10,0,11,36113,4,5,0,0,0
"Simon",10,0,11,35182,4,6,0,0,0
"James",7,0,14,34997,4,7,0,0,0
"Lester",6,0,15,34157,4,8,0,0,0
"Paul",14,0,7,36360,5,1,1,1,1
"Jordan",13,0,8,35741,5,2,1,1,0
"Mark",11,0,10,36172,5,3,1,0,0
"Luke",11,0,10,35476,5,4,1,0,0
"James",10,0,11,35409,5,5,0,0,0
"Lester",9,0,12,34609,5,6,0,0,0
"Simon",8,0,13,34905,5,7,0,0,0
"Anthony",8,0,13,34774,5,8,0,0,0
"Luke",13,0,8,36562,6,1,1,0,0
"Jordan",12,0,9,36635,6,2,1,0,0
"Paul",12,0,9,35632,6,3,1,1,0
"Anthony",11,0,10,35795,6,4,1,1,1
"Simon",11,0,10,35333,6,5,0,0,0
"Lester",11,0,10,34678,6,6,0,0,0
