"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Jordan",15,0,6,35464,1,1,1,1,0
"Paul",13,0,8,34928,1,2,1,1,1
"Luke",12,0,9,34986,1,3,1,0,0
"Simon",12,0,9,34735,1,4,1,0,0
"Lester",10,0,11,33223,1,5,0,0,0
"Anthony",8,0,13,34931,1,6,0,0,0
"James",8,0,13,33686,1,7,0,0,0
"Mark",6,0,15,34144,1,8,0,0,0
"Jordan",15,0,6,35464,2,1,1,1,0
"Paul",13,0,8,34928,2,2,1,1,1
"Luke",12,0,9,34986,2,3,1,0,0
"Simon",12,0,9,34735,2,4,1,0,0
"Lester",10,0,11,33223,2,5,0,0,0
"Anthony",8,0,13,34931,2,6,0,0,0
"James",8,0,13,33686,2,7,0,0,0
"Mark",6,0,15,34144,2,8,0,0,0
"Jordan",15,0,6,35464,3,1,1,0,0
"Paul",13,0,8,34928,3,2,1,0,0
"Luke",12,0,9,34986,3,3,1,1,1
"Simon",12,0,9,34735,3,4,1,1,0
"Lester",10,0,11,33223,3,5,0,0,0
"Anthony",8,0,13,34931,3,6,0,0,0
"James",8,0,13,33686,3,7,0,0,0
"Mark",6,0,15,34144,3,8,0,0,0
"Jordan",15,0,6,35464,4,1,1,1,0
"Paul",13,0,8,34928,4,2,1,0,0
"Luke",12,0,9,34986,4,3,1,1,1
"Simon",12,0,9,34735,4,4,1,0,0
"Lester",10,0,11,33223,4,5,0,0,0
"Anthony",8,0,13,34931,4,6,0,0,0
"James",8,0,13,33686,4,7,0,0,0
"Mark",6,0,15,34144,4,8,0,0,0
"Jordan",15,0,6,35464,5,1,1,1,1
"Paul",13,0,8,34928,5,2,1,0,0
"Luke",12,0,9,34986,5,3,1,1,1
"Simon",12,0,9,34735,5,4,1,0,0
"Lester",10,0,11,33223,5,5,0,0,0
"Anthony",8,0,13,34931,5,6,0,0,0
"James",8,0,13,33686,5,7,0,0,0
"Mark",6,0,15,34144,5,8,0,0,0
"Jordan",15,0,6,35464,6,1,1,1,0
"Paul",13,0,8,34928,6,2,1,0,0
"Luke",12,0,9,34986,6,3,1,1,1
"Simon",12,0,9,34735,6,4,1,0,0
"Lester",10,0,11,33223,6,5,0,0,0
"Anthony",8,0,13,34931,6,6,0,0,0
"James",8,0,13,33686,6,7,0,0,0
"Mark",6,0,15,34144,6,8,0,0,0
"Jordan",15,0,6,35464,7,1,1,0,0
"Paul",13,0,8,34928,7,2,1,1,1
"Luke",12,0,9,34986,7,3,1,0,0
"Simon",12,0,9,34735,7,4,1,1,0
"Lester",10,0,11,33223,7,5,0,0,0
"Anthony",8,0,13,34931,7,6,0,0,0
"James",8,0,13,33686,7,7,0,0,0
"Mark",6,0,15,34144,7,8,0,0,0
"Jordan",15,0,6,35464,8,1,1,0,0
"Paul",13,0,8,34928,8,2,1,1,1
"Luke",12,0,9,34986,8,3,1,0,0
"Simon",12,0,9,34735,8,4,1,1,0
"Lester",10,0,11,33223,8,5,0,0,0
"Anthony",8,0,13,34931,8,6,0,0,0
"James",8,0,13,33686,8,7,0,0,0
"Mark",6,0,15,34144,8,8,0,0,0
"Jordan",15,0,6,35464,9,1,1,1,1
"Paul",13,0,8,34928,9,2,1,0,0
"Luke",12,0,9,34986,9,3,1,1,0
"Simon",12,0,9,34735,9,4,1,0,0
"Lester",10,0,11,33223,9,5,0,0,0
"Anthony",8,0,13,34931,9,6,0,0,0
"James",8,0,13,33686,9,7,0,0,0
"Mark",6,0,15,34144,9,8,0,0,0
"Jordan",15,0,6,35464,10,1,1,0,0
"Paul",13,0,8,34928,10,2,1,1,1
"Luke",12,0,9,34986,10,3,1,0,0
"Simon",12,0,9,34735,10,4,1,1,0
"Lester",10,0,11,33223,10,5,0,0,0
"Anthony",8,0,13,34931,10,6,0,0,0
"James",8,0,13,33686,10,7,0,0,0
"Mark",6,0,15,34144,10,8,0,0,0
"Jordan",15,0,6,35464,11,1,1,1,1
"Paul",13,0,8,34928,11,2,1,0,0
"Luke",12,0,9,34986,11,3,1,1,0
"Simon",12,0,9,34735,11,4,1,0,0
"Lester",10,0,11,33223,11,5,0,0,0
"Anthony",8,0,13,34931,11,6,0,0,0
"James",8,0,13,33686,11,7,0,0,0
"Mark",6,0,15,34144,11,8,0,0,0
"Jordan",15,0,6,35464,12,1,1,1,1
"Paul",13,0,8,34928,12,2,1,1,0
"Luke",12,0,9,34986,12,3,1,0,0
"Simon",12,0,9,34735,12,4,1,0,0
"Lester",10,0,11,33223,12,5,0,0,0
"Anthony",8,0,13,34931,12,6,0,0,0
"James",8,0,13,33686,12,7,0,0,0
