"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Luke",15,0,6,36144,1,1,1,1,0
"Paul",14,0,7,36573,1,2,1,1,1
"Simon",12,0,9,36094,1,3,1,0,0
"Jordan",11,0,10,36218,1,4,1,0,0
"Anthony",10,0,11,36316,1,5,0,0,0
"Lester",9,0,12,34253,1,6,0,0,0
"James",7,0,14,34809,1,7,0,0,0
"Mark",6,0,15,35494,1,8,0,0,0
"Simon",14,0,7,36156,2,1,1,1,0
"Paul",13,0,8,36468,2,2,1,1,1
"Jordan",11,0,10,36679,2,3,1,0,0
"Luke",11,0,10,35602,2,4,1,0,0
"Lester",11,0,10,34284,2,5,0,0,0
"James",9,1,11,35960,2,6,0,0,0
"Anthony",9,0,12,35628,2,7,0,0,0
"Mark",5,1,15,34629,2,8,0,0,0
"Paul",15,0,6,36454,3,1,1,1,1
"Luke",13,0,8,36359,3,2,1,1,0
"Jordan",11,0,10,35751,3,3,1,0,0
"James",10,0,11,36128,3,4,1,0,0
"Simon",10,0,11,35816,3,5,0,0,0
"Mark",10,0,11,35681,3,6,0,0,0
"Lester",8,0,13,34462,3,7,0,0,0
"Anthony",7,0,14,35054,3,8,0,0,0
"Paul",15,0,6,36629,4,1,1,0,0
"Simon",13,0,8,36199,4,2,1,1,0
"Jordan",12,0,9,36779,4,3,1,0,0
"James",10,0,11,35679,4,4,1,1,1
"Luke",10,0,11,35598,4,5,0,0,0
"Anthony",8,0,13,35963,4,6,0,0,0
"Mark",8,0,13,35122,4,7,0,0,0
"Lester",8,0,13,33698,4,8,0,0,0
"Paul",14,0,7,36265,5,1,1,1,1
"Simon",13,0,8,35925,5,2,1,0,0
"Luke",12,0,9,35910,5,3,1,1,0
"James",12,0,9,35181,5,4,1,0,0
"Anthony",11,0,10,35876,5,5,0,0,0
"Jordan",10,0,11,36272,5,6,0,0,0
"Mark",6,0,15,34950,5,7,0,0,0
"Lester",6,0,15,33598,5,8,0,0,0
"Paul",15,0,6,36237,6,1,1,1,1
"Luke",12,0,9,35624,6,2,1,0,0
"Anthony",11,0,10,37158,6,3,1,1,0
"Jordan",10,0,11,36152,6,4,1,0,0
"James",10,0,11,35938,6,5,0,0,0
"Simon",10,0,11,35649,6,6,0,0,0
"Lester",9,0,12,33951,6,7,0,0,0
"Mark",7,0,14,35178,6,8,0,0,0
"Paul",13,0,8,36396,7,1,1,0,0
"Jordan",13,0,8,36338,7,2,1,0,0
"Luke",13,0,8,35653,7,3,1,1,1
"Simon",12,0,9,35988,7,4,1,1,0
"James",10,0,11,34820,7,5,0,0,0
"Anthony",8,0,13,35429,7,6,0,0,0
"Lester",8,0,13,34897,7,7,0,0,0
"Mark",7,0,14,35481,7,8,0,0,0
"Paul",16,0,5,36385,8,1,1,1,1
"Jordan",12,0,9,36318,8,2,1,0,0
"Luke",12,0,9,35772,8,3,1,1,0
"James",11,0,10,35422,8,4,1,0,0
"Simon",11,0,10,34917,8,5,0,0,0
"Mark",8,0,13,35483,8,6,0,0,0
"Anthony",7,0,14,35575,8,7,0,0,0
"Lester",7,0,14,34124,8,8,0,0,0
"Paul",16,0,5,36861,9,1,1,0,0
"Simon",14,0,7,36214,9,2,1,0,0
"Luke",12,0,9,36125,9,3,1,1,0
"Jordan",10,0,11,36498,9,4,1,1,1
"James",10,0,11,35231,9,5,0,0,0
"Anthony",8,0,13,35651,9,6,0,0,0
"Mark",7,0,14,34942,9,7,0,0,0
"Lester",7,0,14,33760,9,8,0,0,0
"Jordan",14,0,7,36318,10,1,1,1,0
"Luke",13,0,8,36270,10,2,1,0,0
"Paul",13,0,8,36023,10,3,1,1,1
"Simon",11,0,10,35575,10,4,1,0,0
"Anthony",10,0,11,36124,10,5,0,0,0
"James",9,0,12,35305,10,6,0,0,0
"Lester",9,0,12,33662,10,7,0,0,0
"Mark",5,0,16,33959,10,8,0,0,0
"Paul",16,0,5,36722,11,1,1,1,0
"Luke",13,0,8,36463,11,2,1,1,1
"Jordan",12,0,9,36465,11,3,1,0,0
"Simon",11,0,10,35826,11,4,1,0,0
"James",10,0,11,35544,11,5,0,0,0
"Lester",9,0,12,34001,11,6,0,0,0
"Anthony",7,0,14,35360,11,7,0,0,0
"Mark",6,0,15,35307,11,8,0,0,0
"Paul",12,0,9,36171,12,1,1,1,0
"Luke",12,0,9,35904,12,2,1,1,1
"Jordan",12,0,9,35841,12,3,1,0,0
"Lester",12,0,9,34225,12,4,1,0,0
"Simon",11,0,10,35678,12,5,0,0,0
"Anthony",9,0,12,35608,12,6,0,0,0
"James",9,0,12,35004,12,7,0,0,0
"Mark",7,0,14,35742,12,8,0,0,0
"Simon",14,0,7,36310,13,1,1,1,0
"Luke",13,0,8,35421,13,2,1,0,0
"Jordan",11,0,10,36313,13,3,1,1,1
"Paul",11,0,10,35745,13,4,1,0,0
"Lester",11,0,10,35066,13,5,0,0,0
"Mark",8,0,13,35528,13,6,0,0,0
"Anthony",8,0,13,35115,13,7,0,0,0
"James",8,0,13,34842,13,8,0,0,0
"Paul",15,0,6,36309,14,1,1,1,0
"Jordan",13,0,8,36629,14,2,1,1,1
"Simon",12,0,9,36299,14,3,1,0,0
"Luke",12,0,9,36139,14,4,1,0,0
"James",10,0,11,35422,14,5,0,0,0
"Anthony",9,0,12,35701,14,6,0,0,0
"Lester",8,0,13,34132,14,7,0,0,0
"Mark",5,0,16,35106,14,8,0,0,0
"Jordan",14,0,7,36524,15,1,1,0,0
"Paul",13,0,8,35865,15,2,1,1,1
"Simon",12,0,9,35633,15,3,1,0,0
"Luke",12,0,9,35338,15,4,1,1,0
"James",10,0,11,35345,15,5,0,0,0
"Anthony",9,0,12,35693,15,6,0,0,0
"Lester",8,0,13,33917,15,7,0,0,0
"Mark",6,0,15,34454,15,8,0,0,0
"Paul",15,0,6,36666,16,1,1,1,0
"Luke",15,0,6,36114,16,2,1,1,1
"Simon",11,0,10,35450,16,3,1,0,0
"Jordan",10,0,11,35145,16,4,1,0,0
"Lester",10,0,11,33927,16,5,0,0,0
"Anthony",9,0,12,35500,16,6,0,0,0
"James",8,0,13,35171,16,7,0,0,0
"Mark",6,0,15,35554,16,8,0,0,0
"Paul",14,0,7,36713,17,1,1,1,1
"Jordan",12,0,9,36604,17,2,1,0,0
"Simon",12,0,9,35191,17,3,1,1,0
"Anthony",10,0,11,35885,17,4,1,0,0
"Lester",10,0,11,34273,17,5,0,0,0
"Mark",9,0,12,36269,17,6,0,0,0
"Luke",9,0,12,35841,17,7,0,0,0
"James",8,0,13,35387,17,8,0,0,0
"Paul",14,0,7,36585,18,1,1,1,0
"Simon",13,0,8,35389,18,2,1,0,0
"Jordan",12,0,9,36394,18,3,1,1,1
"Anthony",10,0,11,36361,18,4,1,0,0
"Luke",10,0,11,35502,18,5,0,0,0
"Lester",10,0,11,34114,18,6,0,0,0
"Mark",8,0,13,35469,18,7,0,0,0
