"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Simon",13,0,8,36076,1,1,1,1,0
"Paul",12,0,9,37007,1,2,1,0,0
"Luke",12,0,9,36473,1,3,1,1,1
"Jordan",11,1,9,36903,1,4,1,0,0
"James",11,0,10,36529,1,5,0,0,0
"Anthony",10,0,11,36665,1,6,0,0,0
"Mark",8,0,13,35722,1,7,0,0,0
"Lester",6,1,14,34035,1,8,0,0,0
"Jordan",12,0,9,37818,2,1,1,0,0
"Paul",12,0,9,36542,2,2,1,0,0
"Simon",12,0,9,36195,2,3,1,1,0
"Anthony",11,0,10,36662,2,4,1,1,1
"Luke",10,0,11,35885,2,5,0,0,0
"Lester",10,0,11,35086,2,6,0,0,0
"Mark",9,0,12,35998,2,7,0,0,0
"James",8,0,13,35798,2,8,0,0,0
"Paul",13,0,8,37846,3,1,1,1,0
"Simon",13,0,8,36117,3,2,1,0,0
"Jordan",11,0,10,36473,3,3,1,1,1
"Lester",11,0,10,34789,3,4,1,0,0
"Luke",10,0,11,35827,3,5,0,0,0
"James",10,0,11,35773,3,6,0,0,0
"Anthony",8,0,13,35874,3,7,0,0,0
"Mark",8,0,13,35751,3,8,0,0,0
"Simon",14,0,7,37092,4,1,1,0,0
"Jordan",13,0,8,36896,4,2,1,1,1
"Luke",13,0,8,36182,4,3,1,0,0
"Paul",11,0,10,36283,4,4,1,1,0
"Lester",10,0,11,34771,4,5,0,0,0
"James",9,0,12,36143,4,6,0,0,0
"Mark",8,0,13,36031,4,7,0,0,0
"Anthony",6,0,15,34296,4,8,0,0,0
"Luke",13,0,8,37182,5,1,1,1,1
"Jordan",13,0,8,36870,5,2,1,0,0
"Simon",12,1,8,36124,5,3,1,1,0
"Paul",11,0,10,36239,5,4,1,0,0
"Mark",10,1,10,36084,5,5,0,0,0
"Anthony",9,0,12,36135,5,6,0,0,0
"James",8,0,13,35559,5,7,0,0,0
"Lester",7,0,14,34321,5,8,0,0,0
"Paul",16,0,5,36872,6,1,1,1,1
"Jordan",12,0,9,36907,6,2,1,0,0
"Luke",11,0,10,36390,6,3,1,1,0
