"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Luke",14,0,7,37088,1,1,1,0,0
"Simon",14,0,7,36568,1,2,1,0,0
"Jordan",13,0,8,36877,1,3,1,1,1
"Paul",12,0,9,36930,1,4,1,1,0
"Lester",9,0,12,34228,1,5,0,0,0
"James",8,0,13,35373,1,6,0,0,0
"Anthony",7,0,14,36199,1,7,0,0,0
"Mark",7,0,14,35566,1,8,0,0,0
"Simon",15,0,6,36286,2,1,1,1,0
"Paul",11,0,10,36826,2,2,1,0,0
"Jordan",11,0,10,35887,2,3,1,1,1
"Anthony",10,0,11,36408,2,4,1,0,0
"Luke",10,0,11,35497,2,5,0,0,0
"Lester",10,0,11,35254,2,6,0,0,0
"James",9,0,12,35325,2,7,0,0,0
"Mark",8,0,13,35390,2,8,0,0,0
"Paul",13,0,8,37394,3,1,1,1,1
"Luke",12,0,9,36467,3,2,1,1,0
"Jordan",11,0,10,36370,3,3,1,0,0
"Simon",11,0,10,35807,3,4,1,0,0
"Anthony",10,0,11,36794,3,5,0,0,0
"James",10,0,11,36134,3,6,0,0,0
"Lester",10,0,11,35048,3,7,0,0,0
"Mark",7,0,14,36125,3,8,0,0,0
"Paul",14,0,7,37426,4,1,1,1,0
"Luke",14,0,7,36735,4,2,1,1,1
"James",13,0,8,35733,4,3,1,0,0
"Simon",12,0,9,35797,4,4,1,0,0
"Jordan",10,0,11,35854,4,5,0,0,0
"Anthony",9,0,12,36285,4,6,0,0,0
"Lester",7,0,14,35112,4,7,0,0,0
"Mark",5,0,16,35575,4,8,0,0,0
"Paul",14,0,7,37309,5,1,1,1,1
"Mark",12,0,9,36665,5,2,1,1,0
"Lester",12,0,9,34735,5,3,1,0,0
"Simon",11,0,10,36661,5,4,1,0,0
"Luke",11,0,10,36287,5,5,0,0,0
"Jordan",10,0,11,36281,5,6,0,0,0
"Anthony",7,0,14,36412,5,7,0,0,0
"James",7,0,14,34999,5,8,0,0,0
"Paul",15,0,6,37866,6,1,1,1,0
"Jordan",12,0,9,36769,6,2,1,0,0
"Luke",12,0,9,36320,6,3,1,1,1
"James",12,0,9,35913,6,4,1,0,0
"Simon",11,0,10,36525,6,5,0,0,0
"Lester",8,0,13,34618,6,6,0,0,0
"Mark",7,0,14,36340,6,7,0,0,0
"Anthony",7,0,14,36042,6,8,0,0,0
"Paul",14,0,7,36781,7,1,1,1,1
"Luke",12,0,9,35891,7,2,1,0,0
"Mark",11,0,10,36266,7,3,1,1,0
"Simon",11,0,10,36020,7,4,1,0,0
"Jordan",10,0,11,36121,7,5,0,0,0
"James",10,0,11,35839,7,6,0,0,0
"Lester",10,0,11,34264,7,7,0,0,0
"Anthony",6,0,15,35578,7,8,0,0,0
"Paul",13,0,8,37504,8,1,1,1,1
"Luke",13,0,8,36796,8,2,1,1,0
"Mark",10,0,11,36631,8,3,1,0,0
"Jordan",10,0,11,36152,8,4,1,0,0
"James",10,0,11,35903,8,5,0,0,0
"Simon",10,0,11,35883,8,6,0,0,0
"Lester",10,0,11,34634,8,7,0,0,0
"Anthony",8,0,13,35787,8,8,0,0,0
"Luke",14,0,7,36700,9,1,1,1,1
"Paul",13,0,8,37564,9,2,1,1,0
"Jordan",12,0,9,36497,9,3,1,0,0
"Lester",12,0,9,34946,9,4,1,0,0
"Simon",10,0,11,36180,9,5,0,0,0
"James",10,0,11,35994,9,6,0,0,0
"Anthony",7,0,14,36321,9,7,0,0,0
"Mark",6,0,15,35383,9,8,0,0,0
"Luke",13,0,8,36066,10,1,1,1,0
"Jordan",12,0,9,36918,10,2,1,0,0
"Paul",12,0,9,36360,10,3,1,1,1
"James",12,0,9,35467,10,4,1,0,0
"Simon",11,0,10,35670,10,5,0,0,0
"Lester",9,0,12,34739,10,6,0,0,0
"Mark",8,0,13,36006,10,7,0,0,0
"Anthony",7,0,14,36286,10,8,0,0,0
"Paul",15,0,6,37645,11,1,1,1,0
"Anthony",13,0,8,37488,11,2,1,1,1
"Simon",12,0,9,35895,11,3,1,0,0
"James",10,0,11,35618,11,4,1,0,0
"Lester",10,0,11,34865,11,5,0,0,0
"Jordan",9,0,12,35895,11,6,0,0,0
"Luke",9,0,12,35337,11,7,0,0,0
"Mark",6,0,15,35484,11,8,0,0,0
"Simon",16,0,5,36929,12,1,1,1,0
"Jordan",14,0,7,37379,12,2,1,0,0
"Paul",12,1,8,36675,12,3,1,1,1
"Luke",10,0,11,36169,12,4,1,0,0
"Lester",10,0,11,34530,12,5,0,0,0
"James",9,0,12,35590,12,6,0,0,0
"Anthony",6,1,14,36199,12,7,0,0,0
"Mark",6,0,15,35999,12,8,0,0,0
"Simon",14,0,7,35800,13,1,1,0,0
"Paul",13,0,8,37473,13,2,1,0,0
"Jordan",12,0,9,36977,13,3,1,1,1
"Luke",10,0,11,36516,13,4,1,1,0
"Lester",10,0,11,35441,13,5,0,0,0
"Mark",9,0,12,35983,13,6,0,0,0
"James",9,0,12,35631,13,7,0,0,0
"Anthony",7,0,14,36555,13,8,0,0,0
"Luke",13,0,8,36798,14,1,1,0,0
"Simon",13,0,8,36000,14,2,1,1,1
"Paul",11,0,10,37186,14,3,1,0,0
"Anthony",11,0,10,36457,14,4,1,1,0
"Jordan",11,0,10,36407,14,5,0,0,0
"James",11,0,10,36005,14,6,0,0,0
"Lester",8,0,13,34502,14,7,0,0,0
"Mark",6,0,15,36303,14,8,0,0,0
"Paul",16,0,5,37278,15,1,1,0,0
"Luke",13,0,8,36496,15,2,1,1,0
"Jordan",12,0,9,36486,15,3,1,0,0
"Simon",11,0,10,35396,15,4,1,1,1
"Lester",9,1,11,34029,15,5,0,0,0
"Anthony",9,0,12,36025,15,6,0,0,0
"James",7,1,13,35164,15,7,0,0,0
"Mark",6,0,15,34947,15,8,0,0,0
"Paul",14,0,7,37832,16,1,1,1,1
"Luke",13,1,7,36206,16,2,1,1,0
"Jordan",12,0,9,36752,16,3,1,0,0
"Mark",10,0,11,36213,16,4,1,0,0
"Simon",10,0,11,36087,16,5,0,0,0
"Anthony",9,0,12,36604,16,6,0,0,0
"James",8,0,13,35310,16,7,0,0,0
"Lester",7,1,13,34102,16,8,0,0,0
"Paul",16,0,5,37965,17,1,1,0,0
"Simon",14,0,7,36534,17,2,1,0,0
"Luke",11,0,10,35891,17,3,1,1,0
"Jordan",10,0,11,36066,17,4,1,1,1
"Lester",10,0,11,34926,17,5,0,0,0
"James",9,0,12,35496,17,6,0,0,0
