"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"James",15,0,6,35773,1,1,1,1,1
"Lester",14,0,7,35879,1,2,1,0,0
"Paul",12,0,9,35722,1,3,1,1,0
"Anthony",10,0,11,36020,1,4,1,0,0
"Jordan",9,0,12,35823,1,5,0,0,0
"Luke",9,0,12,34703,1,6,0,0,0
"Simon",8,0,13,34581,1,7,0,0,0
"Mark",7,0,14,34273,1,8,0,0,0
"Lester",13,0,8,35706,2,1,1,0,0
"Luke",13,0,8,34677,2,2,1,0,0
"Mark",11,0,10,35800,2,3,1,1,1
"James",11,0,10,35462,2,4,1,1,0
"Paul",11,0,10,35374,2,5,0,0,0
"Jordan",10,0,11,35365,2,6,0,0,0
"Anthony",10,0,11,35296,2,7,0,0,0
"Simon",5,0,16,34618,2,8,0,0,0
"James",15,0,6,36089,3,1,1,0,0
"Simon",12,0,9,34797,3,2,1,1,0
"Lester",12,0,9,34329,3,3,1,0,0
"Anthony",11,0,10,35442,3,4,1,1,1
"Paul",9,0,12,35592,3,5,0,0,0
"Luke",9,0,12,35586,3,6,0,0,0
"Mark",9,0,12,35186,3,7,0,0,0
"Jordan",7,0,14,34725,3,8,0,0,0
"Luke",14,0,7,36811,4,1,1,1,1
"Jordan",12,1,8,36070,4,2,1,1,0
"Anthony",12,1,8,35850,4,3,1,0,0
"Mark",10,0,11,35303,4,4,1,0,0
"Paul",9,0,12,35681,4,5,0,0,0
"Simon",9,0,12,34776,4,6,0,0,0
"Lester",9,0,12,34736,4,7,0,0,0
"James",8,0,13,34866,4,8,0,0,0
"Luke",16,0,5,36362,5,1,1,1,0
"Anthony",13,0,8,35384,5,2,1,1,1
"Paul",12,0,9,36798,5,3,1,0,0
"James",10,0,11,35274,5,4,1,0,0
"Lester",10,0,11,32921,5,5,0,0,0
"Simon",9,0,12,34884,5,6,0,0,0
"Jordan",8,0,13,35160,5,7,0,0,0
"Mark",6,0,15,34073,5,8,0,0,0
"Luke",16,0,5,36000,6,1,1,0,0
"James",12,0,9,35103,6,2,1,0,0
"Paul",11,0,10,36038,6,3,1,1,1
"Jordan",10,0,11,36047,6,4,1,1,0
"Lester",10,0,11,34249,6,5,0,0,0
"Anthony",9,0,12,35124,6,6,0,0,0
"Mark",9,0,12,34333,6,7,0,0,0
"Simon",7,0,14,35023,6,8,0,0,0
"Paul",15,0,6,37268,7,1,1,0,0
"Jordan",13,0,8,36163,7,2,1,0,0
"James",12,0,9,36541,7,3,1,1,1
"Lester",12,0,9,34494,7,4,1,1,0
"Mark",9,0,12,35946,7,5,0,0,0
"Anthony",9,0,12,35653,7,6,0,0,0
"Luke",9,0,12,35567,7,7,0,0,0
"Simon",5,0,16,33897,7,8,0,0,0
"Paul",12,0,9,35936,8,1,1,0,0
"James",12,0,9,35494,8,2,1,1,0
"Luke",12,0,9,35098,8,3,1,0,0
"Simon",10,0,11,35571,8,4,1,1,1
"Jordan",10,0,11,34791,8,5,0,0,0
"Lester",10,0,11,34678,8,6,0,0,0
"Anthony",10,0,11,34335,8,7,0,0,0
"Mark",8,0,13,34899,8,8,0,0,0
"Paul",13,0,8,36685,9,1,1,1,1
"Jordan",12,0,9,35131,9,2,1,0,0
"James",11,0,10,35332,9,3,1,1,1
"Simon",11,0,10,35148,9,4,1,0,0
"Lester",11,0,10,34860,9,5,0,0,0
"Mark",9,0,12,34797,9,6,0,0,0
"Anthony",9,0,12,34423,9,7,0,0,0
"Luke",8,0,13,35392,9,8,0,0,0
"Paul",16,0,5,36995,10,1,1,1,0
"Simon",13,0,8,35507,10,2,1,0,0
"Mark",11,0,10,35805,10,3,1,1,1
"Lester",11,0,10,34794,10,4,1,0,0
"James",10,0,11,35333,10,5,0,0,0
"Luke",9,0,12,34152,10,6,0,0,0
"Anthony",8,0,13,35633,10,7,0,0,0
"Jordan",6,0,15,35345,10,8,0,0,0
"Simon",14,0,7,35988,11,1,1,1,0
"Jordan",12,0,9,37369,11,2,1,1,1
"Paul",12,0,9,36272,11,3,1,0,0
"Lester",12,0,9,35073,11,4,1,0,0
"James",11,0,10,35540,11,5,0,0,0
"Luke",8,0,13,34572,11,6,0,0,0
"Mark",8,0,13,34564,11,7,0,0,0
"Anthony",7,0,14,34960,11,8,0,0,0
"Lester",13,0,8,35244,12,1,1,0,0
"Paul",13,0,8,34985,12,2,1,1,0
"James",11,0,10,35867,12,3,1,0,0
"Luke",11,0,10,35676,12,4,1,1,1
"Anthony",11,0,10,35625,12,5,0,0,0
"Mark",10,0,11,35348,12,6,0,0,0
"Jordan",8,0,13,34939,12,7,0,0,0
"Simon",7,0,14,33711,12,8,0,0,0
"Mark",13,0,8,35612,13,1,1,1,1
"Luke",13,0,8,35409,13,2,1,0,0
"Simon",12,0,9,35403,13,3,1,1,0
"James",11,0,10,35723,13,4,1,0,0
"Anthony",10,0,11,36192,13,5,0,0,0
"Paul",9,0,12,34537,13,6,0,0,0
"Jordan",8,0,13,35197,13,7,0,0,0
"Lester",8,0,13,33671,13,8,0,0,0
"James",14,0,7,36338,14,1,1,0,0
"Paul",14,0,7,35974,14,2,1,1,1
"Anthony",12,0,9,35914,14,3,1,0,0
"Mark",11,0,10,35283,14,4,1,1,0
"Lester",10,0,11,34287,14,5,0,0,0
"Jordan",8,0,13,36177,14,6,0,0,0
"Luke",8,0,13,34184,14,7,0,0,0
"Simon",7,0,14,36268,14,8,0,0,0
"Luke",15,0,6,36437,15,1,1,0,0
"Paul",13,0,8,36941,15,2,1,0,0
"James",12,0,9,35547,15,3,1,1,0
"Jordan",10,0,11,35323,15,4,1,1,1
"Anthony",10,0,11,34657,15,5,0,0,0
"Mark",8,0,13,34659,15,6,0,0,0
"Lester",8,0,13,34492,15,7,0,0,0
"Simon",8,0,13,34038,15,8,0,0,0
"Anthony",14,0,7,36343,16,1,1,0,0
"Paul",14,0,7,35164,16,2,1,0,0
"Luke",13,0,8,35692,16,3,1,1,1
"James",10,0,11,35750,16,4,1,1,0
"Mark",10,0,11,34728,16,5,0,0,0
"Jordan",9,0,12,35158,16,6,0,0,0
"Simon",7,0,14,34953,16,7,0,0,0
"Lester",7,0,14,33997,16,8,0,0,0
"Simon",17,0,4,36733,17,1,1,1,1
"Paul",12,0,9,36357,17,2,1,1,0
"Anthony",11,0,10,36009,17,3,1,0,0
"James",10,1,10,35898,17,4,1,0,0
"Lester",10,0,11,34609,17,5,0,0,0
"Jordan",9,0,12,35665,17,6,0,0,0
"Luke",7,1,13,34550,17,7,0,0,0
"Mark",7,0,14,33665,17,8,0,0,0
