"simulation","pos","team","coach","cumul_win","points","pcnt"
1,1,"At Witts End","Paul",14,56,103.27
1,2,"La MacRaena","Anthony",13,52,104.42
1,3,"MakingTheirMarcus","James",13,52,103.78
1,4,"Pink Lloyd","Jordan",11,44,100.21
1,5,"The Big Short","Luke",10,40,102.87
1,6,"Ariana Grundy","Lester",9,36,98.71
1,7,"Surviving J.Kelly","Mark",7,28,95.05
1,8,"The West Wingard","Simon",7,28,92.16
2,1,"La MacRaena","Anthony",14,56,106.37
2,2,"At Witts End","Paul",13,52,102.39
2,3,"MakingTheirMarcus","James",11,44,100.79
2,4,"Ariana Grundy","Lester",11,44,100.47
2,5,"The Big Short","Luke",9,36,102.11
2,6,"Pink Lloyd","Jordan",9,36,97.82
2,7,"The West Wingard","Simon",9,36,94.22
2,8,"Surviving J.Kelly","Mark",8,32,96.16
3,1,"La MacRaena","Anthony",14,56,105.44
3,2,"At Witts End","Paul",14,56,102.38
3,3,"MakingTheirMarcus","James",12,48,103.04
3,4,"Ariana Grundy","Lester",12,48,100.49
3,5,"The Big Short","Luke",9,36,102.35
3,6,"Pink Lloyd","Jordan",8,32,97.63
3,7,"Surviving J.Kelly","Mark",8,32,95.87
3,8,"The West Wingard","Simon",7,28,93.16
4,1,"La MacRaena","Anthony",14,56,105.86
4,2,"At Witts End","Paul",14,56,101.95
4,3,"Ariana Grundy","Lester",12,48,101.04
4,4,"MakingTheirMarcus","James",11,44,101.92
4,5,"The Big Short","Luke",9,36,103.13
4,6,"Pink Lloyd","Jordan",9,36,97.56
4,7,"Surviving J.Kelly","Mark",8,32,96.26
4,8,"The West Wingard","Simon",7,28,92.69
5,1,"La MacRaena","Anthony",14,56,105.11
5,2,"At Witts End","Paul",14,56,103.3
5,3,"MakingTheirMarcus","James",13,52,103.46
5,4,"The Big Short","Luke",10,40,102.83
5,5,"Ariana Grundy","Lester",10,40,99.11
5,6,"Pink Lloyd","Jordan",9,36,98.66
5,7,"Surviving J.Kelly","Mark",8,32,95.81
5,8,"The West Wingard","Simon",6,24,92.15
6,1,"La MacRaena","Anthony",13,52,104.09
6,2,"MakingTheirMarcus","James",12,48,102.93
6,3,"At Witts End","Paul",12,48,101.93
6,4,"Ariana Grundy","Lester",11,44,99.6
6,5,"The Big Short","Luke",10,40,103.65
6,6,"Pink Lloyd","Jordan",10,40,98.96
6,7,"Surviving J.Kelly","Mark",8,32,95.89
6,8,"The West Wingard","Simon",8,32,93.32
7,1,"At Witts End","Paul",15,60,103.75
7,2,"La MacRaena","Anthony",14,56,105.76
7,3,"MakingTheirMarcus","James",12,48,102.65
7,4,"Pink Lloyd","Jordan",11,44,99.21
7,5,"The Big Short","Luke",10,40,103.26
7,6,"Ariana Grundy","Lester",10,40,99.18
7,7,"Surviving J.Kelly","Mark",6,24,94.97
7,8,"The West Wingard","Simon",6,24,91.75
8,1,"La MacRaena","Anthony",14,56,105.06
8,2,"At Witts End","Paul",12,48,101.46
8,3,"Ariana Grundy","Lester",12,48,100.88
8,4,"MakingTheirMarcus","James",11,44,102.02
8,5,"The Big Short","Luke",10,40,102.63
8,6,"Pink Lloyd","Jordan",10,40,98.96
8,7,"The West Wingard","Simon",8,32,93.67
8,8,"Surviving J.Kelly","Mark",7,28,95.61
9,1,"La MacRaena","Anthony",14,56,105.09
9,2,"MakingTheirMarcus","James",13,52,102.99
9,3,"At Witts End","Paul",12,48,101.64
9,4,"Ariana Grundy","Lester",11,44,99.68
9,5,"Pink Lloyd","Jordan",9,36,98.4
9,6,"Surviving J.Kelly","Mark",9,36,96.01
9,7,"The Big Short","Luke",8,32,102.31
9,8,"The West Wingard","Simon",8,32,94.17
10,1,"At Witts End","Paul",14,56,102.54
10,2,"La MacRaena","Anthony",13,52,104.35
10,3,"MakingTheirMarcus","James",12,48,102.46
10,4,"Ariana Grundy","Lester",12,48,100.21
